Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_055414_957,-32,NO_RADIO,32,0.0,8.07062769493686,-95.15899658203124,-95.15899658203124,0.1000564098358154,0.158165693283081,32,,CenterFallback,1,32,0,,
20250721_055415_217,-31,NO_RADIO,32,0.0,7.979629918624582,-95.32933807373048,-95.32933807373048,0.0906398296356201,0.1018187999725341,32,,CenterFallback,1,32,0,,
20250721_055415_667,-30,NO_RADIO,32,0.0,7.375065863292775,-95.9241714477539,-95.9241714477539,0.0921401977539062,0.1016490459442138,32,,CenterFallback,1,32,0,,
20250721_055415_862,-29,51,51,27.6,18.980217974670225,-84.67473793029785,-84.67473793029785,0.1006937026977539,0.1581437587738037,51,51.0,YOLO,1,32,0,18.980217974670225,0.0
20250721_055416_122,-28,50,50,26.1,18.813969172937945,-84.55843658447266,-84.55843658447266,0.0957458019256591,0.1016948223114013,50,50.0,YOLO,1,32,0,18.813969172937945,0.0
20250721_055416_321,-27,50,50,26.1,18.675900525707974,-84.6549072265625,-84.6549072265625,0.0957477092742919,0.1584830284118652,50,50.0,YOLO,1,32,0,18.675900525707974,0.0
20250721_055416_578,-26,49,49,24.7,18.79861823328187,-84.6549144744873,-84.6549144744873,0.0904972553253173,0.1017506122589111,49,49.0,YOLO,1,32,0,18.79861823328187,0.0
20250721_055416_771,-25,48,48,23.2,19.293363663827336,-84.25724029541016,-84.25724029541016,0.0937292575836181,0.1581449508666992,48,48.0,YOLO,1,32,0,19.293363663827336,0.0
20250721_055417_025,-24,48,48,23.2,19.07834323325646,-84.29814910888672,-84.29814910888672,0.0905532836914062,0.1016812324523925,48,48.0,YOLO,1,32,0,19.07834323325646,0.0
20250721_055417_218,-18,48,48,23.2,17.87263567267749,-84.62821960449219,-84.62821960449219,0.0949218273162841,1.465613603591919,48,43.0,NeighborSearch,10,32,0,18.6541160631935,-5.0
20250721_055418_780,-17,43,43,16.0,18.68404267899895,-84.68475341796875,-84.68475341796875,0.0924563407897949,0.1017003059387207,43,43.0,YOLO,1,32,0,18.68404267899895,0.0
20250721_055418_976,-12,43,43,16.0,16.29257609889558,-83.82115936279297,-83.82115936279297,0.0868175029754638,1.2037856578826904,43,39.0,NeighborSearch,8,32,0,19.476457325043896,-4.0
20250721_055420_268,-11,39,39,10.2,19.302315714448028,-83.99394989013672,-83.99394989013672,0.0908172130584716,0.1017661094665527,39,39.0,YOLO,1,32,0,19.302315714448028,0.0
20250721_055420_462,-4,39,39,10.2,15.819229145106108,-83.79082794189453,-83.79082794189453,0.0884537696838378,1.7267999649047852,39,33.0,NeighborSearch,12,32,0,19.4771052450629,-6.0
20250721_055422_279,-3,33,33,1.5,19.41498466147401,-83.82361602783203,-83.82361602783203,0.094102144241333,0.1017217636108398,33,33.0,YOLO,1,32,0,19.41498466147401,0.0
20250721_055422_476,1,33,33,1.5,16.724041644371013,-83.95794830322265,-83.95794830322265,0.0906994342803955,0.942329168319702,33,30.0,NeighborSearch,6,32,0,19.17208089682208,-3.0
20250721_055423_510,2,30,30,-2.9,19.09553876827613,-84.10167770385742,-84.10167770385742,0.091637372970581,0.10178804397583,30,30.0,YOLO,1,32,0,19.09553876827613,0.0
20250721_055423_705,4,29,29,-4.4,18.41530837471302,-84.18990325927734,-84.18990325927734,0.0930676460266113,0.4194138050079345,29,28.0,NeighborSearch,2,32,0,18.933827716754763,-1.0
20250721_055424_219,5,28,28,-5.8,18.636287513055592,-84.5958251953125,-84.5958251953125,0.089181900024414,0.1017177104949951,28,28.0,YOLO,1,32,0,18.636287513055592,0.0
20250721_055424_658,8,27,27,-7.3,17.670918886017034,-84.59288787841797,-84.59288787841797,0.092719554901123,0.6321251392364502,27,25.0,NeighborSearch,4,32,0,18.71153144201304,-2.0
20250721_055425_385,13,25,25,-10.2,17.41464892298454,-84.21401977539062,-84.21401977539062,0.0916407108306884,0.9422705173492432,25,22.0,NeighborSearch,6,32,0,18.92059968665177,-3.0
20250721_055426_420,14,22,22,-14.5,18.166643184853584,-84.49717712402344,-84.49717712402344,0.0917475223541259,0.3698270320892334,22,21.0,NeighborSearch,2,32,0,18.77055490210026,-1.0
20250721_055426_883,16,20,20,-17.4,18.5167298296234,-83.82115936279297,-83.82115936279297,0.0917997360229492,0.4197282791137695,20,19.0,NeighborSearch,2,32,0,19.440666536723043,-1.0
20250721_055427_396,17,19,19,-18.9,19.27500437563424,-83.88284835815429,-83.88284835815429,0.0935745239257812,0.1017377376556396,19,19.0,YOLO,1,32,0,19.27500437563424,0.0
20250721_055427_593,18,18,18,-20.3,18.87755031205461,-84.26498107910156,-84.26498107910156,0.0909054279327392,0.1579978466033935,18,18.0,YOLO,1,32,0,18.87755031205461,0.0
20250721_055427_843,19,17,17,-21.8,18.95031562255815,-84.29814910888672,-84.29814910888672,0.0925133228302002,0.1018476486206054,17,17.0,YOLO,1,32,0,18.95031562255815,0.0
