Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250723_193549_028,24,15,15,-24.7,16.01782593358901,-86.63702392578125,-86.63702392578125,0.100881814956665,0.1019980907440185,15,15.0,YOLO,1,32,0.0,16.01782593358901,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193549_233,24,15,15,-24.7,17.034288559560693,-85.60916137695312,-85.60916137695312,0.1014800071716308,0.1584000587463379,15,15.0,YOLO,1,32,0.0,17.034288559560693,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193549_494,24,15,15,-24.7,17.287039679631988,-85.35914878845215,-85.35914878845215,0.1034762859344482,0.1019797325134277,15,15.0,YOLO,1,32,0.0,17.287039679631988,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193549_701,25,14,14,-26.1,17.64902213188506,-85.00766563415527,-85.00766563415527,0.1016163825988769,0.1583776473999023,14,14.0,YOLO,1,32,0.0,17.64902213188506,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193549_963,25,14,14,-26.1,17.685427885415862,-84.96305084228516,-84.96305084228516,0.1023001670837402,0.1020195484161377,14,14.0,YOLO,1,32,0.0,17.685427885415862,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193550_169,25,14,14,-26.1,17.874029378321367,-84.8216781616211,-84.8216781616211,0.1023564338684082,0.1584703922271728,14,14.0,YOLO,1,32,0.0,17.874029378321367,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193550_431,25,15,15,-24.7,17.868518005792936,-84.90484466552735,-84.90484466552735,0.1038510799407959,0.1020221710205078,15,15.0,YOLO,1,32,0.0,17.868518005792936,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193550_638,26,14,14,-26.1,15.595481576655231,-86.92828369140625,-86.92828369140625,0.1024215221405029,0.1584270000457763,14,14.0,YOLO,1,32,0.0,15.595481576655231,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193550_901,26,14,14,-26.1,14.60226683875021,-87.97175979614258,-87.97175979614258,0.1006886959075927,0.1019721031188964,14,14.0,YOLO,1,32,0.0,14.60226683875021,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193551_105,26,13,13,-27.6,17.989560951320385,-84.65402412414551,-84.65402412414551,0.1009061336517334,0.1585640907287597,13,13.0,YOLO,1,32,0.0,17.989560951320385,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193551_366,26,14,14,-26.1,18.001264921530534,-84.69075012207031,-84.69075012207031,0.1017801761627197,0.1019990444183349,14,14.0,YOLO,1,32,0.0,18.001264921530534,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193551_571,27,14,14,-26.1,14.22673826670608,-88.16930389404297,-88.16930389404297,0.1016359329223632,0.1584153175354004,14,14.0,YOLO,1,32,0.0,14.22673826670608,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193551_833,27,NO_RADIO,14,-26.1,13.7888331302824,-88.67841835021973,-88.67841835021973,0.1012308597564697,0.1020975112915039,14,,CenterFallback,1,32,0.0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193552_038,27,NO_RADIO,14,-26.1,14.480173107950762,-88.14831199645997,-88.14831199645997,0.1001744270324707,0.1583545207977295,14,,CenterFallback,1,32,0.0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250723_193552_298,27,NO_RADIO,14,-26.1,14.54757840974844,-87.91625213623047,-87.91625213623047,0.1017699241638183,0.1020746231079101,14,,CenterFallback,1,32,0.0,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
