Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250720_121949_487,-17,42,42,14.5,24.075900503210637,-78.55637550354004,-78.55637550354004,0.0961887836456298,0.1580071449279785,42,42.0,YOLO,1,32,0.0,24.075900503210637,0.0,[]
20250720_121949_743,-17,42,42,14.5,23.942274374906745,-78.49861869812011,-78.49861869812011,0.0976393222808837,0.1016876697540283,42,42.0,YOLO,1,32,0.0,23.942274374906745,0.0,[]
20250720_121949_944,-17,42,42,14.5,24.04674438739589,-78.54521102905274,-78.54521102905274,0.1022982597351074,0.1581032276153564,42,42.0,YOLO,1,32,0.0,24.04674438739589,0.0,[]
20250720_121950_206,-17,42,42,14.5,24.028946175315,-78.4807804107666,-78.4807804107666,0.0981652736663818,0.1017582416534423,42,42.0,YOLO,1,32,0.0,24.028946175315,0.0,[]
20250720_121950_407,-17,42,42,14.5,23.838803941891584,-78.63605995178223,-78.63605995178223,0.0961780548095703,0.158027172088623,42,42.0,YOLO,1,32,0.0,23.838803941891584,0.0,[]
20250720_121950_663,-17,42,42,14.5,23.86115142401773,-78.65731277465821,-78.65731277465821,0.0916972160339355,0.1016581058502197,42,42.0,YOLO,1,32,0.0,23.86115142401773,0.0,[]
20250720_121950_857,-17,42,42,14.5,23.663658542491703,-78.81408157348633,-78.81408157348633,0.0957636833190918,0.158060073852539,42,42.0,YOLO,1,32,0.0,23.663658542491703,0.0,[]
20250720_121951_113,-17,42,42,14.5,23.791904123692603,-78.7724220275879,-78.7724220275879,0.1007711887359619,0.1016812324523925,42,42.0,YOLO,1,32,0.0,23.791904123692603,0.0,[]
20250720_121951_316,-17,42,42,14.5,24.14126792931974,-78.42117691040039,-78.42117691040039,0.0953695774078369,0.1580820083618164,42,42.0,YOLO,1,32,0.0,24.14126792931974,0.0,[]
20250720_121951_571,-17,42,42,14.5,24.139582494628428,-78.43465805053711,-78.43465805053711,0.0965175628662109,0.1021487712860107,42,42.0,YOLO,1,32,0.0,24.139582494628428,0.0,[]
20250720_121951_772,-17,42,42,14.5,24.308759298003963,-78.19725494384765,-78.19725494384765,0.0969033241271972,0.1583790779113769,42,42.0,YOLO,1,32,0.0,24.308759298003963,0.0,[]
20250720_121952_029,-17,42,42,14.5,24.289566365890337,-78.23844032287597,-78.23844032287597,0.0919191837310791,0.1019206047058105,42,42.0,YOLO,1,32,0.0,24.289566365890337,0.0,[]
20250720_121952_224,-17,42,42,14.5,24.40543013920677,-78.12936897277832,-78.12936897277832,0.0894193649291992,0.1584143638610839,42,42.0,YOLO,1,32,0.0,24.40543013920677,0.0,[]
20250720_121952_474,-17,42,42,14.5,24.366784236783104,-78.23030052185058,-78.23030052185058,0.0963172912597656,0.1016860008239746,42,42.0,YOLO,1,32,0.0,24.366784236783104,0.0,[]
20250720_121952_673,-16,42,42,14.5,23.30121560490524,-79.13482055664062,-79.13482055664062,0.0961546897888183,0.1582634449005127,42,42.0,YOLO,1,32,0.0,23.30121560490524,0.0,[]
20250720_121952_929,-16,42,42,14.5,22.652205490547612,-79.75373611450195,-79.75373611450195,0.0984637737274169,0.1017863750457763,42,42.0,YOLO,1,32,0.0,22.652205490547612,0.0,[]
20250720_121953_131,-16,41,41,13.1,24.426261058855445,-78.13678894042968,-78.13678894042968,0.0939090251922607,0.1585032939910888,41,41.0,YOLO,1,32,0.0,24.426261058855445,0.0,[]
20250720_121953_386,-16,41,41,13.1,24.510766199909853,-78.1175048828125,-78.1175048828125,0.0992662906646728,0.1018238067626953,41,41.0,YOLO,1,32,0.0,24.510766199909853,0.0,[]
20250720_121953_588,-16,41,41,13.1,24.11156893977497,-78.33269500732422,-78.33269500732422,0.0990111827850341,0.1580948829650879,41,41.0,YOLO,1,32,0.0,24.11156893977497,0.0,[]
20250720_121953_847,-16,41,41,13.1,24.177264319900587,-78.32337341308593,-78.32337341308593,0.0986461639404296,0.1017367839813232,41,41.0,YOLO,1,32,0.0,24.177264319900587,0.0,[]
20250720_121954_048,-16,41,41,13.1,24.599117186006,-78.09405822753907,-78.09405822753907,0.0975754261016845,0.1581816673278808,41,41.0,YOLO,1,32,0.0,24.599117186006,0.0,[]
20250720_121954_306,-16,41,41,13.1,24.50170322246933,-78.06249465942383,-78.06249465942383,0.0982904434204101,0.1016948223114013,41,41.0,YOLO,1,32,0.0,24.50170322246933,0.0,[]
20250720_121954_507,-16,41,41,13.1,24.25854955042969,-78.23586006164551,-78.23586006164551,0.1004047393798828,0.1580884456634521,41,41.0,YOLO,1,32,0.0,24.25854955042969,0.0,[]
20250720_121954_767,-16,41,41,13.1,24.274236153440384,-78.2276596069336,-78.2276596069336,0.0964410305023193,0.1016693115234375,41,41.0,YOLO,1,32,0.0,24.274236153440384,0.0,[]
20250720_121954_967,-16,41,41,13.1,23.90735664050061,-78.70407104492188,-78.70407104492188,0.0994515419006347,0.1581020355224609,41,41.0,YOLO,1,32,0.0,23.90735664050061,0.0,[]
20250720_121955_226,-16,41,41,13.1,23.793895653730587,-78.71700820922851,-78.71700820922851,0.0978960990905761,0.1017465591430664,41,41.0,YOLO,1,32,0.0,23.793895653730587,0.0,[]
20250720_121955_427,-16,41,41,13.1,23.52359228438219,-79.08301544189453,-79.08301544189453,0.0958642959594726,0.1580655574798584,41,41.0,YOLO,1,32,0.0,23.52359228438219,0.0,[]
20250720_121955_682,-16,41,41,13.1,23.61286649694364,-78.92739295959473,-78.92739295959473,0.0957674980163574,0.1017124652862548,41,41.0,YOLO,1,32,0.0,23.61286649694364,0.0,[]
20250720_121955_881,-16,41,41,13.1,24.136406983238885,-78.29254570007325,-78.29254570007325,0.0991804599761962,0.1581358909606933,41,41.0,YOLO,1,32,0.0,24.136406983238885,0.0,[]
20250720_121956_140,-16,41,41,13.1,24.208302401224454,-78.32843322753907,-78.32843322753907,0.1018226146697998,0.1017203330993652,41,41.0,YOLO,1,32,0.0,24.208302401224454,0.0,[]
20250720_121956_345,-16,41,41,13.1,24.218619801085158,-78.40820846557617,-78.40820846557617,0.0902822017669677,0.1581814289093017,41,41.0,YOLO,1,32,0.0,24.218619801085158,0.0,[]
20250720_121956_594,-16,41,41,13.1,24.13049613708468,-78.45012664794922,-78.45012664794922,0.0923950672149658,0.1016983985900878,41,41.0,YOLO,1,32,0.0,24.13049613708468,0.0,[]
20250720_121956_790,-15,41,41,13.1,23.4444975250744,-79.13073081970215,-79.13073081970215,0.0954279899597168,0.1580889225006103,41,41.0,YOLO,1,32,0.0,23.4444975250744,0.0,[]
20250720_121957_045,-15,40,40,11.6,23.274114197948972,-79.24588127136231,-79.24588127136231,0.0972869396209716,0.1017429828643798,40,40.0,YOLO,1,32,0.0,23.274114197948972,0.0,[]
20250720_121957_245,-15,40,40,11.6,25.352833559036117,-77.2304588317871,-77.2304588317871,0.0989985466003418,0.1581242084503173,40,40.0,YOLO,1,32,0.0,25.352833559036117,0.0,[]
20250720_121957_504,-15,40,40,11.6,25.37585713787115,-77.20021057128906,-77.20021057128906,0.1018850803375244,0.1017141342163086,40,40.0,YOLO,1,32,0.0,25.37585713787115,0.0,[]
20250720_121957_709,-15,40,40,11.6,25.259781546105277,-77.3327075958252,-77.3327075958252,0.0935783386230468,0.158243179321289,40,40.0,YOLO,1,32,0.0,25.259781546105277,0.0,[]
20250720_121957_962,-15,40,40,11.6,25.1140392750971,-77.510209274292,-77.510209274292,0.098215103149414,0.1017117500305175,40,40.0,YOLO,1,32,0.0,25.1140392750971,0.0,[]
20250720_121958_164,-15,40,40,11.6,25.235966763438697,-77.37627067565919,-77.37627067565919,0.0887324810028076,0.1580729484558105,40,40.0,YOLO,1,32,0.0,25.235966763438697,0.0,[]
20250720_121958_412,-15,40,40,11.6,25.04675573151019,-77.46182250976562,-77.46182250976562,0.0975189208984375,0.1016664505004882,40,40.0,YOLO,1,32,0.0,25.04675573151019,0.0,[]
20250720_121958_613,-15,40,40,11.6,25.0714224115533,-77.46235885620118,-77.46235885620118,0.0927298069000244,0.1581416130065918,40,40.0,YOLO,1,32,0.0,25.0714224115533,0.0,[]
20250720_121958_865,-15,40,40,11.6,24.96098504278324,-77.47089004516602,-77.47089004516602,0.0950241088867187,0.1017768383026123,40,40.0,YOLO,1,32,0.0,24.96098504278324,0.0,[]
20250720_121959_063,-15,40,40,11.6,25.374467547085047,-77.20021057128906,-77.20021057128906,0.0990946292877197,0.1581282615661621,40,40.0,YOLO,1,32,0.0,25.374467547085047,0.0,[]
20250720_121959_322,-15,40,40,11.6,25.333572594799943,-77.19428253173828,-77.19428253173828,0.1000871658325195,0.1017663478851318,40,40.0,YOLO,1,32,0.0,25.333572594799943,0.0,[]
20250720_121959_525,-15,40,40,11.6,24.92511174407024,-77.53129348754882,-77.53129348754882,0.0957531929016113,0.1580886840820312,40,40.0,YOLO,1,32,0.0,24.92511174407024,0.0,[]
20250720_121959_780,-15,40,40,11.6,24.907662032331277,-77.61003150939942,-77.61003150939942,0.0979719161987304,0.1017746925354003,40,40.0,YOLO,1,32,0.0,24.907662032331277,0.0,[]
20250720_121959_982,-15,41,41,13.1,23.33668142130034,-79.16929244995117,-79.16929244995117,0.0869741439819336,0.1581504344940185,41,41.0,YOLO,1,32,0.0,23.33668142130034,0.0,[]
20250720_122000_228,-15,41,41,13.1,23.62473027822368,-78.98565788269043,-78.98565788269043,0.093930959701538,0.1017541885375976,41,41.0,YOLO,1,32,0.0,23.62473027822368,0.0,[]
20250720_122000_425,-15,41,41,13.1,23.226566606871728,-79.36469268798828,-79.36469268798828,0.098794937133789,0.1580748558044433,41,41.0,YOLO,1,32,0.0,23.226566606871728,0.0,[]
20250720_122000_684,-14,41,41,13.1,23.16126091763624,-79.38170623779297,-79.38170623779297,0.0971755981445312,0.1016755104064941,41,41.0,YOLO,1,32,0.0,23.16126091763624,0.0,[]
20250720_122000_884,-14,41,41,13.1,20.68438489229752,-81.69697570800781,-81.69697570800781,0.0982089042663574,0.2605977058410644,41,41.0,YOLO,1,41,13.1,23.16126091763624,0.0,[]
20250720_122001_244,-14,40,40,11.6,24.284111813871988,-78.30158996582031,-78.30158996582031,0.0912659168243408,0.158135175704956,40,40.0,YOLO,1,41,13.1,24.284111813871988,0.0,[]
20250720_122001_495,-14,40,40,11.6,24.28391421805101,-78.21890144348144,-78.21890144348144,0.0980961322784423,0.1016981601715087,40,40.0,YOLO,1,41,13.1,24.28391421805101,0.0,[]
20250720_122001_696,-14,39,39,10.2,25.19311336657552,-77.41555595397949,-77.41555595397949,0.0984249114990234,0.1581168174743652,39,39.0,YOLO,1,41,13.1,25.19311336657552,0.0,[]
20250720_122001_954,-14,39,39,10.2,25.24614232517904,-77.36770858764649,-77.36770858764649,0.0985510349273681,0.1016483306884765,39,39.0,YOLO,1,41,13.1,25.24614232517904,0.0,[]
20250720_122002_156,-14,40,40,11.6,24.1611141761622,-78.40160751342773,-78.40160751342773,0.0984294414520263,0.1580865383148193,40,40.0,YOLO,1,41,13.1,24.1611141761622,0.0,[]
