Timestamp,Boresight,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),Beam Sweep Time (s)
20251224_125330_084,26,12,-29.0,31,1.5,19.535239754564856,7.932595729827881
20251224_125338_018,27,14,-26.1,30,2.9,16.219542732754178,7.9327075481414795
20251224_125345_952,27,12,-29.0,31,1.5,18.935676364651627,7.930400371551514
20251224_125353_883,28,9,-33.4,30,2.9,19.23724604813802,7.93279242515564
20251224_125401_817,29,12,-29.0,30,2.9,18.621946403458637,7.936855792999268
20251224_125409_756,29,10,-31.9,31,1.5,19.964280127202656,7.936373472213745
20251224_125417_693,30,8,-34.8,31,1.5,19.98696130255837,7.934614181518555
20251224_125425_629,31,9,-33.4,31,1.5,19.508208630634584,7.934614896774292
20251224_125433_565,31,8,-34.8,30,2.9,19.528119841069042,7.9388487339019775
20251224_125441_505,32,8,-34.8,31,1.5,19.099163185997355,7.934493541717529
20251224_125449_441,32,3,-42.1,30,2.9,16.618959098368776,7.932647228240967
20251224_125457_375,33,7,-36.3,31,1.5,19.75823118150673,7.9325032234191895
20251224_125505_308,34,1,-45.0,31,1.5,14.590936999260663,7.936593055725098
20251224_125513_246,34,8,-34.8,31,1.5,17.47759115331752,7.934838533401489
20251224_125521_182,35,7,-36.3,30,2.9,19.09738807315307,7.932287216186523
20251224_125529_116,36,3,-42.1,30,2.9,19.223390751719663,7.9327991008758545
20251224_125537_050,36,4,-40.6,31,1.5,19.53739992678868,7.936761379241943
20251224_125544_988,37,6,-37.7,31,1.5,18.07844145147186,7.934218645095825
20251224_125552_923,38,2,-43.5,30,2.9,19.014338044387827,7.93269944190979
20251224_125600_857,38,3,-42.1,30,2.9,19.552134706107907,7.932757616043091
20251224_125608_791,39,1,-45.0,30,2.9,19.069530290927048,7.937095642089844
20251224_125616_731,39,1,-45.0,30,2.9,18.84318784708867,7.9332275390625
20251224_125624_665,40,4,-40.6,30,2.9,17.152083905173697,7.934825420379639
20251224_125632_601,41,22,-14.5,31,1.5,7.702896522750592,7.934618711471558
20251224_125640_537,41,4,-40.6,30,2.9,15.872813578529644,7.934542417526245
20251224_125648_473,42,63,45.0,46,-20.3,6.999287133306623,7.934715747833252
20251224_125656_408,43,39,10.2,33,-1.5,7.574450317429992,7.934843301773071
20251224_125704_344,43,63,45.0,29,4.4,7.202635813241955,7.932503700256348
20251224_125712_278,44,56,34.8,39,-10.2,7.204377325291716,7.932545185089111
20251224_125720_212,45,26,-8.7,61,-42.1,7.007009721213549,7.938867092132568
20251224_125728_152,45,22,-14.5,30,2.9,7.207951532451872,7.9324729442596436
20251224_125736_086,46,30,-2.9,31,1.5,7.210012789049969,7.934233665466309
