Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_075122_814,-25,48,48,23.2,19.579417836185343,0.0956692695617675,0.0042393207550048,48,48.0,YOLO,1,32,0,19.579417836185343,0.0
20250721_075123_014,-25,47,47,21.8,20.285254533650487,0.0867798328399658,0.0043056011199951,47,47.0,YOLO,1,32,0,20.285254533650487,0.0
20250721_075122_917,-25,47,47,21.8,20.285254533650487,0.0890781879425048,0.0042283535003662,47,47.0,YOLO,1,32,0,20.285254533650487,0.0
20250721_075123_108,-25,47,47,21.8,20.285254533650487,0.0924315452575683,0.0040438175201416,47,47.0,YOLO,1,32,0,20.285254533650487,0.0
20250721_075122_718,-25,48,48,23.2,19.579417836185343,0.0894079208374023,0.0039858818054199,48,48.0,YOLO,1,32,0,19.579417836185343,0.0
20250721_075123_628,-23,47,47,21.8,19.21457609187693,0.1008501052856445,0.0040464401245117,47,47.0,YOLO,1,32,0,19.21457609187693,0.0
20250721_075124_134,-23,46,46,20.3,20.508420822578245,0.0877084732055664,0.0042760372161865,46,46.0,YOLO,1,32,0,20.508420822578245,0.0
20250721_075123_847,-23,46,46,20.3,20.508420822578245,0.0952174663543701,0.0045282840728759,46,46.0,YOLO,1,32,0,20.508420822578245,0.0
20250721_075124_041,-23,46,46,20.3,20.508420822578245,0.0859673023223877,0.0042996406555175,46,46.0,YOLO,1,32,0,20.508420822578245,0.0
20250721_075123_950,-23,46,46,20.3,20.508420822578245,0.0835001468658447,0.0043809413909912,46,46.0,YOLO,1,32,0,20.508420822578245,0.0
20250721_075124_230,-22,46,46,20.3,20.10090523937108,0.1030962467193603,0.0020465850830078,46,46.0,YOLO,1,32,0,20.10090523937108,0.0
20250721_075124_336,-22,45,45,18.9,20.354599947883244,0.0851869583129882,0.0039303302764892,45,45.0,YOLO,1,32,0,20.354599947883244,0.0
20250721_075124_626,-22,45,45,18.9,20.354599947883244,0.0919575691223144,0.0040056705474853,45,45.0,YOLO,1,32,0,20.354599947883244,0.0
20250721_075124_522,-22,45,45,18.9,20.354599947883244,0.0971455574035644,0.0042953491210937,45,45.0,YOLO,1,32,0,20.354599947883244,0.0
20250721_075124_428,-22,45,45,18.9,20.354599947883244,0.0864033699035644,0.0042743682861328,45,45.0,YOLO,1,32,0,20.354599947883244,0.0
20250721_075125_234,-20,45,45,18.9,17.9838315715202,0.0903840065002441,0.011540412902832,45,44.0,NeighborSearch,2,32,0,19.929988490551903,-1.0
20250721_075125_440,-20,44,44,17.4,19.929988490551903,0.0871069431304931,0.0043795108795166,44,44.0,YOLO,1,32,0,19.929988490551903,0.0
20250721_075125_534,-20,44,44,17.4,19.929988490551903,0.0900638103485107,0.0039434432983398,44,44.0,YOLO,1,32,0,19.929988490551903,0.0
20250721_075125_339,-20,44,44,17.4,19.929988490551903,0.0933678150177002,0.004188060760498,44,44.0,YOLO,1,32,0,19.929988490551903,0.0
20250721_075125_135,-20,45,45,18.9,17.9838315715202,0.0915660858154296,0.0066263675689697,45,44.0,NeighborSearch,2,32,0,19.929988490551903,-1.0
20250721_075126_133,-19,43,43,16.0,20.44929433344545,0.086526870727539,0.0042452812194824,43,43.0,YOLO,1,32,0,20.44929433344545,0.0
20250721_075125_933,-19,43,43,16.0,20.44929433344545,0.0975937843322753,0.0044279098510742,43,43.0,YOLO,1,32,0,20.44929433344545,0.0
20250721_075125_731,-19,44,44,17.4,19.725712090300703,0.0879354476928711,0.0042700767517089,44,44.0,YOLO,1,32,0,19.725712090300703,0.0
20250721_075125_826,-19,43,43,16.0,20.44929433344545,0.0998091697692871,0.0040693283081054,43,43.0,YOLO,1,32,0,20.44929433344545,0.0
20250721_075125_631,-19,44,44,17.4,19.929988490551903,0.0915231704711914,0.0047321319580078,44,44.0,YOLO,1,32,0,19.929988490551903,0.0
20250721_075126_620,-18,42,42,14.5,20.354345977057847,0.0796887874603271,0.0022006034851074,42,42.0,YOLO,1,32,0,20.354345977057847,0.0
20250721_075126_415,-18,42,42,14.5,20.354345977057847,0.1027503013610839,0.002784252166748,42,42.0,YOLO,1,32,0,20.354345977057847,0.0
20250721_075126_323,-18,43,43,16.0,20.02549559143135,0.0879137516021728,0.0027344226837158,43,43.0,YOLO,1,32,0,20.02549559143135,0.0
20250721_075126_522,-18,42,42,14.5,20.354345977057847,0.0939829349517822,0.002051830291748,42,42.0,YOLO,1,32,0,20.354345977057847,0.0
20250721_075126_227,-18,43,43,16.0,20.02549559143135,0.0880627632141113,0.0043661594390869,43,43.0,YOLO,1,32,0,20.02549559143135,0.0
20250721_075126_885,-17,42,42,14.5,19.98588872229529,0.1008906364440918,0.0025537014007568,42,42.0,YOLO,1,32,0,19.98588872229529,0.0
20250721_075126_990,-17,42,42,14.5,19.98588872229529,0.0937492847442627,0.0021107196807861,42,42.0,YOLO,1,32,0,19.98588872229529,0.0
