Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250720_230920_412,-18,43,43,16.0,20.02549559143135,0.1042325496673584,0.0046007633209228,43,43.0,YOLO,1,32,0,20.02549559143135,0.0,[]
20250720_230920_524,-18,43,43,16.0,20.02549559143135,0.1056153774261474,0.004040241241455,43,43.0,YOLO,1,32,0,20.02549559143135,0.0,[]
20250720_230920_636,-17,42,42,14.5,19.98588872229529,0.0897142887115478,0.004434585571289,42,42.0,YOLO,1,32,0,19.98588872229529,0.0,[]
20250720_230920_734,-17,42,42,14.5,19.98588872229529,0.1033267974853515,0.0045139789581298,42,42.0,YOLO,1,32,0,19.98588872229529,0.0,[]
20250720_230920_845,-17,42,42,14.5,19.98588872229529,0.0916764736175537,0.0042207241058349,42,42.0,YOLO,1,32,0,19.98588872229529,0.0,[]
20250720_230920_944,-16,42,42,14.5,19.42798830172086,0.0956771373748779,0.0023114681243896,42,42.0,YOLO,1,32,0,19.42798830172086,0.0,[]
20250720_230921_045,-16,42,42,14.5,19.42798830172086,0.0972070693969726,0.0042054653167724,42,42.0,YOLO,1,32,0,19.42798830172086,0.0,[]
20250720_230921_149,-15,41,41,13.1,20.66102041937131,0.0950829982757568,0.0043089389801025,41,41.0,YOLO,1,32,0,20.66102041937131,0.0,[]
20250720_230921_251,-15,41,41,13.1,20.66102041937131,0.0935239791870117,0.0045106410980224,41,41.0,YOLO,1,32,0,20.66102041937131,0.0,[]
20250720_230921_352,-15,41,41,13.1,20.66102041937131,0.0926496982574462,0.0045051574707031,41,41.0,YOLO,1,32,0,20.66102041937131,0.0,[]
20250720_230921_452,-14,41,41,13.1,20.137042811436928,0.0995078086853027,0.0045738220214843,41,41.0,YOLO,1,32,0,20.137042811436928,0.0,[]
20250720_230921_559,-14,40,40,11.6,20.684931335855552,0.0933287143707275,0.00445556640625,40,40.0,YOLO,1,32,0,20.684931335855552,0.0,[]
20250720_230921_661,-13,40,40,11.6,20.55133519330974,0.0905654430389404,0.0045068264007568,40,40.0,YOLO,1,32,0,20.55133519330974,0.0,[]
