Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250714_075153_520,-90,50,50,26.1,14,26.1,7.218973770141616,0.14118647575378418,0.1953716278076172
20250714_075153_860,-90,50,50,26.1,14,26.1,6.482473260371364,0.11077761650085449,0.164229154586792
20250714_075154_136,-90,50,50,26.1,14,26.1,6.714015461320443,0.09464597702026367,0.10796594619750977
20250714_075154_339,-90,50,50,26.1,14,26.1,6.900200427945734,0.09558391571044922,0.2236490249633789
20250714_075154_659,-90,NO_RADIO,50,26.1,14,26.1,6.960225488687584,0.06373739242553711,0.11495399475097656
20250714_075154_839,-90,NO_RADIO,50,26.1,14,26.1,7.047005516917466,0.07016682624816895,0.16506075859069824
20250714_075155_076,-90,NO_RADIO,50,26.1,14,26.1,6.940480869730692,0.07271552085876465,0.11371421813964844
20250714_075155_263,-90,NO_RADIO,50,26.1,14,26.1,6.942689520936099,0.0738213062286377,0.1639723777770996
20250714_075155_502,-90,NO_RADIO,50,26.1,14,26.1,6.739574102634279,0.07313227653503418,0.1110541820526123
20250714_075155_687,-90,NO_RADIO,50,26.1,14,26.1,6.7711033769774644,0.07297325134277344,0.16434335708618164
20250714_075155_925,-90,NO_RADIO,50,26.1,14,26.1,6.803153146095099,0.07683753967285156,0.10795378684997559
20250714_075156_111,-90,NO_RADIO,50,26.1,14,26.1,6.85377861031084,0.06369209289550781,0.17546439170837402
20250714_075156_351,-90,NO_RADIO,50,26.1,14,26.1,7.0870644403232035,0.07016587257385254,0.10851573944091797
20250714_075156_531,-90,NO_RADIO,50,26.1,14,26.1,7.148112278436287,0.07106900215148926,0.16425371170043945
20250714_075156_767,-90,NO_RADIO,50,26.1,14,26.1,6.882755133272269,0.06937313079833984,0.1091299057006836
20250714_075156_947,-90,NO_RADIO,50,26.1,14,26.1,6.738235155281757,0.07005977630615234,0.20137715339660645
20250714_075157_219,-90,NO_RADIO,50,26.1,14,26.1,6.906370733294565,0.07312130928039551,0.11767292022705078
20250714_075157_411,-90,NO_RADIO,50,26.1,14,26.1,6.9082052079075424,0.0752565860748291,0.1920919418334961
20250714_075157_679,-90,NO_RADIO,50,26.1,14,26.1,6.905090632935725,0.07469654083251953,0.15626025199890137
20250714_075157_911,-90,44,44,17.4,20,17.4,7.476565343237297,0.10601973533630371,0.222975492477417
20250714_075158_241,-90,NO_RADIO,44,17.4,20,17.4,7.110403609951618,0.063385009765625,0.12325859069824219
20250714_075158_429,-90,NO_RADIO,44,17.4,20,17.4,7.098187640274205,0.06870031356811523,0.16259551048278809
20250714_075158_661,-90,NO_RADIO,44,17.4,20,17.4,7.086301026650176,0.07069659233093262,0.10824799537658691
20250714_075158_841,-90,NO_RADIO,44,17.4,20,17.4,7.568122121402496,0.07386207580566406,0.16709589958190918
20250714_075159_083,-90,39,39,10.2,25,10.2,7.470929076664291,0.1070413589477539,0.1058962345123291
20250714_075159_297,-90,NO_RADIO,39,10.2,25,10.2,6.885248823560914,0.06345105171203613,0.1636667251586914
20250714_075159_525,-90,37,37,7.3,27,7.3,6.885120214878214,0.0941934585571289,0.1643970012664795
20250714_075159_785,-90,NO_RADIO,37,7.3,27,7.3,7.125295655218665,0.06605410575866699,0.16335129737854004
20250714_075200_015,-90,NO_RADIO,37,7.3,27,7.3,6.873897408035788,0.07021570205688477,0.29837942123413086
20250714_075200_385,-90,NO_RADIO,37,7.3,27,7.3,6.719604323019354,0.07506179809570312,0.2044994831085205
20250714_075200_665,-90,32,32,0,32,0,6.886056836289342,0.10664677619934082,0.10739994049072266
20250714_075200_880,-90,31,31,-1.5,33,-1.5,7.082172487507606,0.09555935859680176,0.1766204833984375
20250714_075201_154,-90,30,30,-2.9,34,-2.9,6.681508173998665,0.09553861618041992,0.1485762596130371
20250714_075201_399,-90,29,29,-4.4,35,-4.4,7.095729008531279,0.09539914131164551,0.1679399013519287
20250714_075201_663,-90,27,27,-7.3,37,-7.3,7.1030598256076445,0.09517335891723633,0.11772775650024414
