Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250722_121540_747,-45,NO_RADIO,32,0,,0.1605370044708252,0.04784131050109863
20250722_121540_957,-45,NO_RADIO,32,0,,0.13259005546569824,0.04628109931945801
20250722_121541_137,-44,NO_RADIO,32,0,,0.13698291778564453,0.04482913017272949
20250722_121541_320,-44,NO_RADIO,32,0,,0.1282355785369873,0.04533791542053223
20250722_121541_495,-44,NO_RADIO,32,0,,0.13901138305664062,0.04222989082336426
20250722_121541_678,-43,NO_RADIO,32,0,,0.13724303245544434,0.043554067611694336
20250722_121541_859,-43,NO_RADIO,32,0,,0.13468050956726074,0.03602409362792969
20250722_121542_032,-42,NO_RADIO,32,0,,0.13187241554260254,0.044144630432128906
20250722_121542_209,-42,NO_RADIO,32,0,,0.1386427879333496,0.06024789810180664
20250722_121542_409,-42,NO_RADIO,32,0,,0.13179874420166016,0.03619742393493652
20250722_121542_578,-41,NO_RADIO,32,0,,0.13750767707824707,0.035700321197509766
20250722_121542_753,-41,NO_RADIO,32,0,,0.14342308044433594,0.035894155502319336
20250722_121542_933,-41,NO_RADIO,32,0,,0.13354253768920898,0.0419313907623291
20250722_121543_110,-40,NO_RADIO,32,0,,0.12752032279968262,0.036989688873291016
20250722_121543_275,-40,NO_RADIO,32,0,,0.12920618057250977,0.03499341011047363
20250722_121543_441,-40,NO_RADIO,32,0,,0.1334998607635498,0.03729057312011719
20250722_121543_613,-39,NO_RADIO,32,0,6.574758069923774,0.13967299461364746,0.042966604232788086
20250722_121543_797,-39,NO_RADIO,32,0,6.574758069923774,0.13719868659973145,0.03593301773071289
20250722_121543_971,-39,NO_RADIO,32,0,6.574758069923774,0.12726402282714844,0.05024576187133789
20250722_121544_150,-38,NO_RADIO,32,0,7.175818584887423,0.12945318222045898,0.04482126235961914
20250722_121544_325,-38,NO_RADIO,32,0,7.175818584887423,0.13066697120666504,0.03556680679321289
20250722_121544_493,-38,NO_RADIO,32,0,7.175818584887423,0.12887167930603027,0.03501272201538086
20250722_121544_658,-37,NO_RADIO,32,0,7.1756515498423,0.1294543743133545,0.03554368019104004
20250722_121544_824,-37,NO_RADIO,32,0,7.1756515498423,0.12789106369018555,0.04023933410644531
