Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250721_000800_760,-43,NO_RADIO,32,0,6.522047355585215,0.09434652328491211,0.00457763671875,32,,CenterFallback,1,32,0,,,[]
20250721_000800_863,-43,NO_RADIO,32,0,6.522047355585215,0.09374213218688965,0.004364490509033203,32,,CenterFallback,1,32,0,,,[]
20250721_000800_964,-43,NO_RADIO,32,0,6.522047355585215,0.08720993995666504,0.004334449768066406,32,,CenterFallback,1,32,0,,,[]
20250721_000801_059,-43,NO_RADIO,32,0,6.522047355585215,0.08834981918334961,0.004453182220458984,32,,CenterFallback,1,32,0,,,[]
20250721_000801_155,-43,NO_RADIO,32,0,6.522047355585215,0.09375,0.004409074783325195,32,,CenterFallback,1,32,0,,,[]
20250721_000801_255,-43,NO_RADIO,32,0,6.522047355585215,0.09210205078125,0.004384040832519531,32,,CenterFallback,1,32,0,,,[]
20250721_000801_354,-43,NO_RADIO,32,0,6.522047355585215,0.09459543228149414,0.004511833190917969,32,,CenterFallback,1,32,0,,,[]
20250721_000801_457,-43,NO_RADIO,32,0,6.522047355585215,0.08902215957641602,0.0044405460357666016,32,,CenterFallback,1,32,0,,,[]
20250721_000801_554,-43,NO_RADIO,32,0,6.522047355585215,0.09021568298339844,0.002142190933227539,32,,CenterFallback,1,32,0,,,[]
20250721_000801_647,-43,NO_RADIO,32,0,6.522047355585215,0.09757041931152344,0.00444340705871582,32,,CenterFallback,1,32,0,,,[]
20250721_000801_753,-43,NO_RADIO,32,0,6.522047355585215,0.09500360488891602,0.004445791244506836,32,,CenterFallback,1,32,0,,,[]
20250721_000801_855,-43,NO_RADIO,32,0,6.522047355585215,0.08879566192626953,0.004143476486206055,32,,CenterFallback,1,32,0,,,[]
20250721_000801_951,-43,NO_RADIO,32,0,6.522047355585215,0.09108996391296387,0.0045623779296875,32,,CenterFallback,1,32,0,,,[]
20250721_000802_050,-43,NO_RADIO,32,0,6.522047355585215,0.09543824195861816,0.004511833190917969,32,,CenterFallback,1,32,0,,,[]
20250721_000802_153,-43,NO_RADIO,32,0,6.522047355585215,0.0949251651763916,0.004601240158081055,32,,CenterFallback,1,32,0,,,[]
20250721_000802_255,-43,NO_RADIO,32,0,6.522047355585215,0.09415602684020996,0.004506111145019531,32,,CenterFallback,1,32,0,,,[]
20250721_000802_357,-43,NO_RADIO,32,0,6.522047355585215,0.09469795227050781,0.00437474250793457,32,,CenterFallback,1,32,0,,,[]
20250721_000802_459,-42,NO_RADIO,32,0,6.917008681489023,0.09708428382873535,0.0045032501220703125,32,,CenterFallback,1,32,0,,,[]
20250721_000802_564,-42,NO_RADIO,32,0,6.917008681489023,0.08968949317932129,0.004107475280761719,32,,CenterFallback,1,32,0,,,[]
20250721_000802_661,-42,NO_RADIO,32,0,6.917008681489023,0.08513689041137695,0.004416942596435547,32,,CenterFallback,1,32,0,,,[]
20250721_000802_753,-42,NO_RADIO,32,0,6.917008681489023,0.09107160568237305,0.00446009635925293,32,,CenterFallback,1,32,0,,,[]
20250721_000802_852,-42,NO_RADIO,32,0,6.917008681489023,0.0926821231842041,0.004201650619506836,32,,CenterFallback,1,32,0,,,[]
20250721_000802_952,-42,NO_RADIO,32,0,6.917008681489023,0.0983881950378418,0.004587411880493164,32,,CenterFallback,1,32,0,,,[]
20250721_000803_058,-42,NO_RADIO,32,0,6.917008681489023,0.09729862213134766,0.004390239715576172,32,,CenterFallback,1,32,0,,,[]
20250721_000803_163,-42,NO_RADIO,32,0,6.917008681489023,0.09461402893066406,0.004572153091430664,32,,CenterFallback,1,32,0,,,[]
20250721_000803_265,-42,NO_RADIO,32,0,6.917008681489023,0.0950937271118164,0.00459599494934082,32,,CenterFallback,1,32,0,,,[]
20250721_000803_368,-42,NO_RADIO,32,0,6.917008681489023,0.0973670482635498,0.0044765472412109375,32,,CenterFallback,1,32,0,,,[]
20250721_000803_473,-42,NO_RADIO,32,0,6.917008681489023,0.0988776683807373,0.0043964385986328125,32,,CenterFallback,1,32,0,,,[]
20250721_000803_580,-42,NO_RADIO,32,0,6.917008681489023,0.09843230247497559,0.004560232162475586,32,,CenterFallback,1,32,0,,,[]
20250721_000803_684,-42,NO_RADIO,32,0,6.917008681489023,0.09578657150268555,0.004419088363647461,32,,CenterFallback,1,32,0,,,[]
20250721_000803_785,-42,NO_RADIO,32,0,6.917008681489023,0.09033751487731934,0.004521608352661133,32,,CenterFallback,1,32,0,,,[]
20250721_000803_884,-42,NO_RADIO,32,0,6.917008681489023,0.08794474601745605,0.0043468475341796875,32,,CenterFallback,1,32,0,,,[]
