Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error,Beam Offset History
20250720_203041_451,-32,NO_RADIO,51,27.6,20.05073723451256,0.0918500423431396,0.0040409564971923,51,,CenterFallback,1,32,0,,,"[0, 0]"
20250720_203041_550,-32,NO_RADIO,51,27.6,20.05073723451256,0.1024777889251709,0.002129316329956,51,,CenterFallback,1,32,0,,,"[0, 0]"
20250720_203041_656,-32,51,51,27.6,20.05073723451256,0.0917680263519287,0.0021007061004638,51,51.0,YOLO,1,32,0,20.05073723451256,0.0,"[0, 0, 0]"
20250720_203041_751,-32,NO_RADIO,51,27.6,20.05073723451256,0.1054120063781738,0.0021460056304931,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203041_860,-32,NO_RADIO,51,27.6,20.05073723451256,0.0919387340545654,0.0022008419036865,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203041_955,-32,NO_RADIO,51,27.6,20.05073723451256,0.0921955108642578,0.0021448135375976,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203042_051,-32,NO_RADIO,51,27.6,20.05073723451256,0.0889432430267334,0.0021877288818359,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203042_143,-32,NO_RADIO,51,27.6,20.05073723451256,0.1002664566040039,0.002094030380249,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203042_247,-32,NO_RADIO,51,27.6,20.05073723451256,0.089672565460205,0.0040795803070068,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203042_344,-32,NO_RADIO,51,27.6,20.05073723451256,0.0889821052551269,0.0041284561157226,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203042_440,-31,NO_RADIO,51,27.6,20.53557951269317,0.0970745086669921,0.0020842552185058,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203042_540,-31,NO_RADIO,51,27.6,20.53557951269317,0.0860838890075683,0.0045363903045654,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203042_635,-31,NO_RADIO,51,27.6,20.53557951269317,0.0971956253051757,0.0042898654937744,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203042_739,-31,NO_RADIO,51,27.6,20.53557951269317,0.0960841178894043,0.0042037963867187,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203042_843,-31,NO_RADIO,51,27.6,20.53557951269317,0.0870685577392578,0.0040729045867919,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203042_937,-31,NO_RADIO,51,27.6,20.53557951269317,0.097743272781372,0.0041613578796386,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203043_042,-31,NO_RADIO,51,27.6,20.53557951269317,0.0890095233917236,0.0041937828063964,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203043_139,-31,NO_RADIO,51,27.6,20.53557951269317,0.091477632522583,0.0040647983551025,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203043_238,-31,NO_RADIO,51,27.6,20.53557951269317,0.0992860794067382,0.0024023056030273,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203043_341,-31,NO_RADIO,51,27.6,20.53557951269317,0.0895271301269531,0.0040693283081054,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203043_438,-30,NO_RADIO,51,27.6,19.539869176009503,0.096942663192749,0.0021255016326904,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203043_538,-30,NO_RADIO,51,27.6,19.539869176009503,0.0958406925201416,0.0042877197265625,51,,CenterFallback,1,32,0,,,"[0, 0, 0]"
20250720_203043_642,-30,51,51,27.6,19.539869176009503,0.0925285816192627,0.0039947032928466,51,51.0,YOLO,1,32,0,19.539869176009503,0.0,"[0, 0, 0, 0]"
20250720_203043_741,-30,51,51,27.6,19.539869176009503,0.0982444286346435,0.0040903091430664,51,51.0,YOLO,1,32,0,19.539869176009503,0.0,"[0, 0, 0, 0, 0]"
20250720_203043_847,-30,51,51,27.6,19.539869176009503,0.0971982479095459,0.0040333271026611,51,51.0,YOLO,1,32,0,19.539869176009503,0.0,"[0, 0, 0, 0, 0, 0]"
20250720_203043_951,-30,51,51,27.6,19.539869176009503,0.0955774784088134,0.0042791366577148,51,51.0,YOLO,1,32,0,19.539869176009503,0.0,"[0, 0, 0, 0, 0, 0, 0]"
20250720_203044_054,-30,50,50,26.1,20.16422311447306,0.0954058170318603,0.0038821697235107,50,50.0,YOLO,1,32,0,20.16422311447306,0.0,"[0, 0, 0, 0, 0, 0, 0, 0]"
20250720_203044_157,-30,51,51,27.6,19.539869176009503,0.1028509140014648,0.0042769908905029,51,51.0,YOLO,1,32,0,19.539869176009503,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_203044_267,-30,51,51,27.6,19.539869176009503,0.0973958969116211,0.0039937496185302,51,51.0,YOLO,1,32,0,19.539869176009503,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_203044_372,-30,51,51,27.6,19.539869176009503,0.0907251834869384,0.0039896965026855,51,51.0,YOLO,1,32,0,19.539869176009503,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_203044_470,-29,51,51,27.6,18.956136952667435,0.0966548919677734,0.002047061920166,51,51.0,YOLO,1,32,0,18.956136952667435,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_203044_570,-29,51,51,27.6,18.956136952667435,0.0958828926086425,0.004279613494873,51,51.0,YOLO,1,32,0,18.956136952667435,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_203044_674,-29,50,50,26.1,19.98581286382988,0.1051764488220214,0.0039613246917724,50,50.0,YOLO,1,32,0,19.98581286382988,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_203044_786,-29,50,50,26.1,19.98581286382988,0.0945754051208496,0.0043058395385742,50,50.0,YOLO,1,32,0,19.98581286382988,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_203044_888,-29,50,50,26.1,19.98581286382988,0.0936543941497802,0.0040183067321777,50,50.0,YOLO,1,32,0,19.98581286382988,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250720_203044_989,-29,50,50,26.1,19.98581286382988,0.1032302379608154,0.0039646625518798,50,50.0,YOLO,1,32,0,19.98581286382988,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
