Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250713_194016_856,-90,NO_RADIO,32,0,32,0,7.149126281738262,0.11991596221923828,0.1083683967590332
20250713_194017_088,-90,NO_RADIO,32,0,32,0,7.210031116505476,0.09348177909851074,0.16121387481689453
20250713_194017_344,-90,NO_RADIO,32,0,32,0,7.176288595742832,0.07491540908813477,0.15569233894348145
20250713_194017_575,-90,NO_RADIO,32,0,32,0,7.086758396798899,0.07605838775634766,0.1634235382080078
20250713_194017_816,-90,NO_RADIO,32,0,32,0,7.147538910897424,0.07208609580993652,0.11638569831848145
20250713_194018_005,-90,NO_RADIO,32,0,32,0,6.635641647180478,0.07471585273742676,0.2111823558807373
20250713_194018_292,-90,NO_RADIO,32,0,32,0,6.765016114450447,0.07594060897827148,0.14456892013549805
20250713_194018_513,-90,NO_RADIO,32,0,32,0,7.158107367449077,0.07542705535888672,0.16558098793029785
20250713_194018_755,-90,NO_RADIO,32,0,32,0,7.368913193930666,0.07467365264892578,0.14016437530517578
20250713_194018_971,-90,NO_RADIO,32,0,32,0,7.181283497152947,0.07596015930175781,0.1692981719970703
20250713_194019_217,-90,NO_RADIO,32,0,32,0,7.111848093908776,0.07526302337646484,0.10726761817932129
20250713_194019_401,-90,NO_RADIO,32,0,32,0,7.310564090447272,0.07567048072814941,0.1643385887145996
20250713_194019_642,-90,NO_RADIO,32,0,32,0,6.718317917314934,0.07399535179138184,0.10811638832092285
20250713_194019_825,-90,NO_RADIO,32,0,32,0,7.060926874160671,0.07584476470947266,0.18405437469482422
20250713_194020_086,-90,NO_RADIO,32,0,32,0,7.0481009186022305,0.07477760314941406,0.14536094665527344
20250713_194020_307,-90,NO_RADIO,32,0,32,0,6.728469907449892,0.07502627372741699,0.16437339782714844
20250713_194020_548,-90,NO_RADIO,32,0,32,0,6.680608840098714,0.0744466781616211,0.10806894302368164
20250713_194020_731,-90,NO_RADIO,32,0,32,0,6.736419129381176,0.07576370239257812,0.16754841804504395
20250713_194020_975,-90,NO_RADIO,32,0,32,0,7.156749656902292,0.07620620727539062,0.10854482650756836
20250713_194021_161,-90,NO_RADIO,32,0,32,0,7.04142127376889,0.07619309425354004,0.16397643089294434
20250713_194021_402,-90,13,13,-27.6,51,-27.6,6.737740681076232,0.15882134437561035,0.10728931427001953
20250713_194021_670,-90,14,14,-26.1,50,-26.1,10.102934900421687,0.09851598739624023,0.18234896659851074
20250713_194021_951,-90,14,14,-26.1,50,-26.1,9.257874567472953,0.10050773620605469,0.12624382972717285
20250713_194022_179,-90,14,14,-26.1,50,-26.1,9.474910657459588,0.09855294227600098,0.1647171974182129
20250713_194022_443,-90,14,14,-26.1,50,-26.1,8.918594260649542,0.10326623916625977,0.10786032676696777
20250713_194022_656,-90,15,15,-24.7,49,-24.7,13.084212737964961,0.10071778297424316,0.16606378555297852
20250713_194022_924,-90,15,15,-24.7,49,-24.7,12.793009547418023,0.10326743125915527,0.10570073127746582
20250713_194023_134,-90,NO_RADIO,15,-24.7,49,-24.7,14.68105114423254,0.06963610649108887,0.18933916091918945
20250713_194023_394,-90,16,16,-23.2,48,-23.2,14.461376719600779,0.10351014137268066,0.1336688995361328
20250713_194023_632,-90,16,16,-23.2,48,-23.2,7.689388261422806,0.10134267807006836,0.16326022148132324
20250713_194023_898,-90,16,16,-23.2,48,-23.2,7.350347687347167,0.10052371025085449,0.14010214805603027
20250713_194024_139,-90,15,15,-24.7,49,-24.7,14.696065857397002,0.10070443153381348,0.23684453964233398
20250713_194024_478,-90,15,15,-24.7,49,-24.7,14.455367007444323,0.10300254821777344,0.13382291793823242
20250713_194024_716,-90,15,15,-24.7,49,-24.7,15.890728185516593,0.09963512420654297,0.16369318962097168
