Timestamp,Boresight,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),Beam Sweep Time (s)
20251224_133016_289,-32,52,29.0,49,-24.7,26.366045795778877,7.898491859436035
20251224_133024_188,-31,52,29.0,7,36.3,26.0214086130534,7.900130987167358
20251224_133032_090,-30,51,27.6,10,31.9,26.573530164693523,7.900628089904785
20251224_133039_992,-29,1,-45.0,12,29.0,7.768190384486758,7.89850926399231
20251224_133047_892,-28,49,24.7,19,18.9,26.713236076021172,7.898064851760864
20251224_133055_791,-27,50,26.1,8,34.8,25.91862868294254,7.898562908172607
20251224_133103_691,-26,49,24.7,62,-43.5,26.058782565363515,7.90031886100769
20251224_133111_592,-25,49,24.7,23,13.1,25.214149890344856,7.898942232131958
20251224_133119_493,-24,47,21.8,13,27.6,26.195792859565472,7.895625352859497
20251224_133127_390,-23,46,20.3,30,2.9,26.15724543677069,7.896894454956055
20251224_133135_288,-22,45,18.9,57,-36.3,26.60613098661291,7.8987040519714355
20251224_133143_188,-21,45,18.9,15,24.7,26.16842052714105,7.90371298789978
20251224_133151_093,-20,44,17.4,12,29.0,26.61948376891796,7.898541688919067
20251224_133158_993,-19,1,-45.0,56,-34.8,6.417699461804929,7.896328449249268
20251224_133206_890,-18,44,17.4,8,34.8,24.70219518268757,7.896440505981445
20251224_133214_788,-17,43,16.0,63,-45.0,25.14063761654744,7.898926496505737
20251224_133222_689,-16,41,13.1,25,10.2,26.79719018126994,7.895277976989746
20251224_133230_586,-15,42,14.5,38,-8.7,25.18714168823392,7.89653730392456
20251224_133238_484,-14,42,14.5,41,-13.1,23.36614337210797,7.914308547973633
20251224_133246_399,-13,40,11.6,41,-13.1,26.622495935481567,7.89817476272583
20251224_133254_299,-12,39,10.2,56,-34.8,26.595394424876503,7.900681972503662
20251224_133302_201,-11,2,-43.5,12,29.0,7.043053035785775,7.898407697677612
20251224_133310_101,-10,37,7.3,43,-16.0,26.84375127348666,7.912173509597778
20251224_133318_014,-9,37,7.3,4,40.6,26.15842939291952,7.896606922149658
20251224_133325_912,-8,37,7.3,19,18.9,25.337233613371254,7.89830470085144
20251224_133333_812,-7,36,5.8,50,-26.1,26.06621972874663,7.896147966384888
20251224_133341_709,-6,35,4.4,31,1.5,25.481257139276792,7.908460855484009
20251224_133349_619,-5,34,2.9,52,-29.0,25.66921360835597,7.900530815124512
20251224_133357_520,-4,34,2.9,47,-21.8,24.43718543095612,7.900665521621704
20251224_133405_422,-3,34,2.9,50,-26.1,23.28894731058216,7.904628992080688
20251224_133413_328,-2,32,0.0,1,45.0,26.54045695714845,7.910240411758423
20251224_133421_240,-1,32,0.0,1,45.0,25.868905415078217,7.898712158203125
20251224_133429_139,0,31,-1.5,2,43.5,26.09867498266057,7.902661323547363
20251224_133437_044,1,29,-4.4,3,42.1,27.088953775710365,7.898036956787109
20251224_133444_943,2,30,-2.9,1,45.0,26.169034389310696,7.914730548858643
20251224_133452_859,3,30,-2.9,5,39.2,24.806364905580608,7.902374267578125
20251224_133500_762,4,28,-5.8,5,39.2,26.59965237171517,7.898669004440308
20251224_133508_662,5,28,-5.8,10,31.9,25.86469148639441,7.904288053512573
20251224_133516_568,6,26,-8.7,2,43.5,26.859437883038467,7.916585445404053
20251224_133524_486,7,25,-10.2,4,40.6,26.569104385365733,7.902550458908081
20251224_133532_389,8,26,-8.7,1,45.0,25.68003048616684,7.906535148620605
20251224_133540_297,9,24,-11.6,13,27.6,26.878294254626,7.898404121398926
20251224_133548_197,10,23,-13.1,5,39.2,27.05619824802048,7.914401531219482
20251224_133556_113,11,1,-45.0,19,18.9,8.199387674449582,7.902464151382446
20251224_133604_016,12,22,-14.5,8,34.8,26.49459897497323,7.904728174209595
20251224_133611_922,13,21,-16.0,12,29.0,26.714980887183277,7.904011726379394
20251224_133619_827,14,22,-14.5,2,43.5,24.813781954728316,7.918673276901245
20251224_133627_747,15,20,-17.4,20,17.4,26.373277169416,7.904828786849976
20251224_133635_654,16,19,-18.9,25,10.2,26.664399742521454,7.902040481567383
20251224_133643_557,17,19,-18.9,20,17.4,26.44437568723357,7.908701658248901
20251224_133651_467,18,17,-21.8,5,39.2,26.18140985996212,7.904353141784668
20251224_133659_372,19,18,-20.3,4,40.6,25.21094578973685,7.906430721282959
20251224_133707_280,20,17,-21.8,4,40.6,25.486464392299283,7.904374837875366
20251224_133715_186,21,15,-24.7,49,-24.7,26.332977445254315,7.906630754470825
20251224_133723_094,22,2,-43.5,1,45.0,9.376969153930602,7.911338806152344
