Timestamp,Boresight,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),Beam Sweep Time (s)
20251222_172844_069,-32,51,27.6,30,2.9,22.541192997202387,7.902703046798706
20251222_172851_973,-30,52,29.0,30,2.9,21.19942635096521,7.90461540222168
20251222_172859_879,-28,47,21.8,30,2.9,21.942000591556194,7.900679349899292
20251222_172907_780,-26,48,23.2,30,2.9,22.823754829716396,7.902582168579102
20251222_172915_684,-24,48,23.2,30,2.9,22.24474325244813,7.904645204544067
20251222_172923_590,-22,46,20.3,31,1.5,20.81455615517379,7.902684450149536
20251222_172931_494,-20,46,20.3,30,2.9,18.082216741872852,7.9048707485198975
20251222_172939_400,-18,45,18.9,30,2.9,17.17931019217687,7.90245246887207
20251222_172947_304,-16,42,14.5,30,2.9,21.72188204929641,7.904491662979126
20251222_172955_210,-14,42,14.5,30,2.9,18.85637302085536,7.902846813201904
20251222_173003_114,-12,39,10.2,31,1.5,22.052733558261664,7.904797554016113
20251222_173011_020,-10,37,7.3,30,2.9,22.33356397164053,7.910280227661133
20251222_173018_931,-8,2,-43.5,30,2.9,7.514677589639376,7.904711008071899
20251222_173026_837,-6,35,4.4,30,2.9,21.11745098766657,7.904354810714722
20251222_173034_743,-4,31,-1.5,31,1.5,22.006785923105767,7.90482234954834
20251222_173042_649,-2,32,0.0,30,2.9,21.499224011740395,7.910580635070801
20251222_173050_561,0,1,-45.0,31,1.5,7.898703962086017,7.904850959777832
20251222_173058_467,2,29,-4.4,30,2.9,22.42600265206123,7.902762413024902
20251222_173106_371,4,29,-4.4,30,2.9,21.02534642101851,7.90840482711792
20251222_173114_281,6,27,-7.3,30,2.9,21.395286629492475,7.904494762420654
20251222_173122_186,8,23,-13.1,31,1.5,21.97929871815593,7.904755353927612
20251222_173130_092,10,24,-11.6,31,1.5,21.75582118721678,7.904536962509155
20251222_173138_000,12,21,-16.0,30,2.9,22.04145947594796,7.908370971679687
20251222_173145_910,14,21,-16.0,30,2.9,21.81054943339599,7.904769659042358
20251222_173153_816,16,21,-16.0,30,2.9,20.331031255413578,7.9068121910095215
20251222_173201_724,18,18,-20.3,30,2.9,21.094183321361385,7.904617786407471
20251222_173209_630,20,17,-21.8,31,1.5,20.53222882454267,7.906705379486084
20251222_173217_538,22,17,-21.8,31,1.5,19.07397251995017,7.910218238830566
