Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),TX Beam Index,TX Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250714_072441_280,-90,51,51,27.6,7.044937057495105,-94.01957702636719,-94.01957702636719,0.13141632080078125,11.002926111221313,51,15,15,24.7,NeighborSearch,63,9.505468776946785,-36,[]
20250714_072452_417,-90,NO_RADIO,51,27.6,11.261410721786405,-91.92092895507812,-91.92092895507812,0.0908958911895752,0.1681199073791504,51,,,,CenterFallback,1,,,[]
20250714_072452_678,-90,NO_RADIO,51,27.6,13.187768085631319,-90.23409004211426,-90.23409004211426,0.08777260780334473,0.16792726516723633,51,,,,CenterFallback,1,,,[]
20250714_072452_935,-90,NO_RADIO,51,27.6,24.12673913896373,-79.57930755615234,-79.57930755615234,0.08373856544494629,0.1636192798614502,51,,,,CenterFallback,1,,,[]
20250714_072453_183,-90,NO_RADIO,51,27.6,26.76037595884449,-76.94939193725585,-76.94939193725585,0.07606840133666992,0.1367030143737793,51,,,,CenterFallback,1,,,[]
20250714_072453_397,-90,NO_RADIO,51,27.6,37.819484741916355,-65.39277229309081,-65.39277229309081,0.07268381118774414,0.1642141342163086,51,,,,CenterFallback,1,,,[]
20250714_072453_635,-90,NO_RADIO,51,27.6,38.509720447768814,-64.02353439331054,-64.02353439331054,0.07355713844299316,0.10907649993896484,51,,,,CenterFallback,1,,,[]
20250714_072453_819,-90,NO_RADIO,51,27.6,42.10963359758147,-58.74456996917725,-58.74456996917725,0.07428312301635742,0.17100286483764648,51,,,,CenterFallback,1,,,[]
20250714_072454_065,-90,NO_RADIO,51,27.6,40.906406421068,-58.63106708526611,-58.63106708526611,0.07604789733886719,0.11848831176757812,51,,,,CenterFallback,1,,,[]
20250714_072454_261,-90,NO_RADIO,51,27.6,36.957496776586495,-62.23884239196777,-62.23884239196777,0.07350969314575195,0.23161053657531738,51,,,,CenterFallback,1,,,[]
20250714_072454_567,-90,51,51,27.6,34.93632655617189,-64.02988891601562,-64.02988891601562,0.10836625099182129,0.13023996353149414,51,51,51,-27.6,YOLO,1,34.93632655617189,0,[0]
20250714_072454_807,-90,49,49,24.7,28.70156995834502,-70.30080986022949,-70.30080986022949,0.09338498115539551,0.16994571685791016,49,49,49,-24.7,YOLO,1,28.70156995834502,0,"[0, 0]"
20250714_072455_071,-90,47,47,21.8,25.035759647353956,-73.94355545043945,-73.94355545043945,0.09265851974487305,0.10982275009155273,47,47,47,-21.8,YOLO,1,25.035759647353956,0,"[0, 0, 0]"
20250714_072455_275,-90,NO_RADIO,47,21.8,11.379582163795789,-87.48345031738282,-87.48345031738282,0.06653904914855957,0.16466760635375977,47,,,,CenterFallback,1,,,"[0, 0, 0]"
20250714_072455_507,-90,45,45,18.9,18.285531605345454,-80.74852142333984,-80.74852142333984,0.09696698188781738,0.11715006828308105,45,45,45,-18.9,YOLO,1,18.285531605345454,0,"[0, 0, 0, 0]"
20250714_072455_723,-90,43,43,16.0,27.272439038415556,-71.66309242248535,-71.66309242248535,0.0927267074584961,0.16691327095031738,43,43,43,-16.0,YOLO,1,27.272439038415556,0,"[0, 0, 0, 0, 0]"
20250714_072455_983,-90,42,42,14.5,21.619569595351024,-77.39968605041504,-77.39968605041504,0.09467220306396484,0.10752987861633301,42,42,42,-14.5,YOLO,1,21.619569595351024,0,"[0, 0, 0, 0, 0, 0]"
20250714_072456_187,-90,40,40,11.6,14.234513885455627,-84.78413162231445,-84.78413162231445,0.0921323299407959,0.2551250457763672,40,40,40,-11.6,YOLO,1,14.234513885455627,0,"[0, 0, 0, 0, 0, 0, 0]"
