Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250722_213759_807,-45,NO_RADIO,32,0,6.587617577283098,0.12289166450500488,0.009883642196655273
20250722_213759_944,-45,NO_RADIO,32,0,6.587617577283098,0.1111598014831543,0.004474163055419922
20250722_213800_063,-45,NO_RADIO,32,0,6.587617577283098,0.10653138160705566,0.004525184631347656
20250722_213800_177,-45,NO_RADIO,32,0,6.587617577283098,0.11792111396789551,0.004156589508056641
20250722_213800_301,-45,NO_RADIO,32,0,6.587617577283098,0.12040257453918457,0.004186868667602539
20250722_213800_428,-45,NO_RADIO,32,0,6.587617577283098,0.10620307922363281,0.004208803176879883
20250722_213800_541,-45,NO_RADIO,32,0,6.587617577283098,0.1099538803100586,0.004117488861083984
20250722_213800_658,-45,NO_RADIO,32,0,6.587617577283098,0.10474610328674316,0.0041735172271728516
20250722_213800_770,-44,NO_RADIO,32,0,6.977760553676589,0.10890364646911621,0.004106283187866211
20250722_213800_885,-44,NO_RADIO,32,0,6.977760553676589,0.10718369483947754,0.004480838775634766
20250722_213801_000,-44,NO_RADIO,32,0,6.977760553676589,0.10705113410949707,0.004107475280761719
20250722_213801_114,-44,NO_RADIO,32,0,6.977760553676589,0.10678434371948242,0.004164934158325195
20250722_213801_228,-44,NO_RADIO,32,0,6.977760553676589,0.10716724395751953,0.00475001335144043
20250722_213801_342,-44,NO_RADIO,32,0,6.977760553676589,0.10972833633422852,0.0044744014739990234
20250722_213801_459,-44,NO_RADIO,32,0,6.977760553676589,0.11181879043579102,0.0042073726654052734
20250722_213801_578,-44,NO_RADIO,32,0,6.977760553676589,0.10667181015014648,0.004107475280761719
20250722_213801_691,-43,NO_RADIO,32,0,6.522047355585215,0.1044764518737793,0.004514455795288086
20250722_213801_804,-43,NO_RADIO,32,0,6.522047355585215,0.10911321640014648,0.0045087337493896484
20250722_213801_920,-43,NO_RADIO,32,0,6.522047355585215,0.10889172554016113,0.0041484832763671875
20250722_213802_036,-43,NO_RADIO,32,0,6.522047355585215,0.10941195487976074,0.004080057144165039
20250722_213802_152,-43,NO_RADIO,32,0,6.522047355585215,0.10112738609313965,0.004590034484863281
20250722_213802_261,-43,NO_RADIO,32,0,6.522047355585215,0.10780644416809082,0.004482746124267578
20250722_213802_376,-43,NO_RADIO,32,0,6.522047355585215,0.1087198257446289,0.004700660705566406
20250722_213802_492,-43,NO_RADIO,32,0,6.522047355585215,0.10803484916687012,0.004407167434692383
20250722_213802_607,-43,NO_RADIO,32,0,6.522047355585215,0.1112053394317627,0.004254341125488281
20250722_213802_726,-42,NO_RADIO,32,0,6.917008681489023,0.0951850414276123,0.0037376880645751953
20250722_213802_826,-42,NO_RADIO,32,0,6.917008681489023,0.11102795600891113,0.0041964054107666016
20250722_213802_944,-42,NO_RADIO,32,0,6.917008681489023,0.10784149169921875,0.004094839096069336
20250722_213803_058,-42,NO_RADIO,32,0,6.917008681489023,0.10742735862731934,0.004225254058837891
20250722_213803_173,-42,NO_RADIO,32,0,6.917008681489023,0.108001708984375,0.0038299560546875
20250722_213803_287,-42,NO_RADIO,32,0,6.917008681489023,0.1091454029083252,0.004168033599853516
20250722_213803_403,-42,NO_RADIO,32,0,6.917008681489023,0.10727071762084961,0.004301309585571289
20250722_213803_517,-42,NO_RADIO,32,0,6.917008681489023,0.10347247123718262,0.004104137420654297
20250722_213803_627,-42,NO_RADIO,32,0,6.917008681489023,0.10831570625305176,0.004500865936279297
20250722_213803_743,-41,NO_RADIO,32,0,6.915939406622158,0.11412572860717773,0.003970623016357422
20250722_213803_864,-41,NO_RADIO,32,0,6.915939406622158,0.10908269882202148,0.00414276123046875
20250722_213803_979,-41,NO_RADIO,32,0,6.915939406622158,0.11050581932067871,0.004093170166015625
20250722_213804_097,-41,NO_RADIO,32,0,6.915939406622158,0.11064696311950684,0.004126548767089844
20250722_213804_214,-41,NO_RADIO,32,0,6.915939406622158,0.1114501953125,0.003702402114868164
20250722_213804_331,-41,NO_RADIO,32,0,6.915939406622158,0.11020183563232422,0.003847837448120117
20250722_213804_448,-41,NO_RADIO,32,0,6.915939406622158,0.1087653636932373,0.004482269287109375
20250722_213804_564,-41,NO_RADIO,32,0,6.915939406622158,0.10275506973266602,0.004564523696899414
20250722_213804_674,-41,NO_RADIO,32,0,6.915939406622158,0.10343623161315918,0.004470348358154297
20250722_213804_785,-40,NO_RADIO,32,0,6.9147096789532725,0.10892677307128906,0.0041866302490234375
20250722_213804_901,-40,NO_RADIO,32,0,6.9147096789532725,0.11049818992614746,0.004208087921142578
