Timestamp,Boresight,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),Beam Sweep Time (s)
20251222_155636_376,-44,61,42.1,31,1.5,19.752339746610716,7.8584303855896
20251222_155644_238,-42,59,39.2,30,2.9,20.841256421147904,7.9001710414886475
20251222_155652_139,-40,2,-43.5,30,2.9,7.270600499486235,7.9026970863342285
20251222_155700_043,-38,57,36.3,30,2.9,20.651959591927294,7.902373790740967
20251222_155707_947,-36,57,36.3,30,2.9,19.1607320759812,7.902500867843628
20251222_155715_851,-34,55,33.4,30,2.9,20.453022949148888,7.904412508010864
20251222_155723_756,-32,56,34.8,30,2.9,15.808978422434919,7.904495000839233
20251222_155731_662,-30,51,27.6,30,2.9,21.54568580017377,7.9025609493255615
20251222_155739_566,-28,1,-45.0,30,2.9,7.7322744430663874,7.902580976486206
20251222_155747_470,-26,50,26.1,30,2.9,19.779458783586307,7.904830455780029
20251222_155755_376,-24,49,24.7,30,2.9,19.459239272796935,7.904156684875488
20251222_155803_281,-22,46,20.3,30,2.9,20.400906181597776,7.900553941726685
20251222_155811_183,-20,44,17.4,30,2.9,21.46084481309576,7.90260124206543
20251222_155819_086,-18,2,-43.5,28,5.8,7.519290135289253,7.902730941772461
20251222_155826_991,-16,42,14.5,30,2.9,20.996356835551623,7.904077768325806
20251222_155834_896,-14,39,10.2,30,2.9,22.406024160614024,7.904677391052246
20251222_155842_802,-12,40,11.6,30,2.9,20.60429689654761,7.902400255203247
20251222_155850_706,-10,37,7.3,30,2.9,21.65234283617228,7.904685020446777
20251222_155858_612,-8,1,-45.0,31,1.5,7.985497146953634,7.904428005218506
20251222_155906_517,-6,35,4.4,30,2.9,20.22365877584393,7.904713153839111
20251222_155914_423,-4,33,1.5,30,2.9,21.485490939772916,7.904399871826172
20251222_155922_329,-2,32,0,30,2.9,21.67189093750021,7.904534816741943
20251222_155930_235,0,1,-45.0,31,1.5,7.593428737156955,7.902462720870972
20251222_155938_138,2,30,-2.9,30,2.9,21.017269987707124,7.902438163757324
20251222_155946_042,4,29,-4.4,30,2.9,20.264824571494884,7.906327247619629
20251222_155953_950,6,29,-4.4,30,2.9,17.414667179456117,7.904862880706787
20251222_160001_856,8,26,-8.7,30,2.9,20.797400140323774,7.902319669723511
20251222_160009_759,10,24,-11.6,30,2.9,21.207550622468446,7.904570579528809
20251222_160017_665,12,21,-16.0,30,2.9,21.98713898985595,7.904558181762695
20251222_160025_571,14,1,-45.0,63,-45.0,6.887678095181229,7.902557134628296
20251222_160033_475,16,19,-18.9,31,1.5,21.504761893593653,7.904593229293823
20251222_160041_380,18,18,-20.3,30,2.9,20.842884211214965,7.90691065788269
20251222_160049_289,20,18,-20.3,30,2.9,19.345912071501076,7.904922723770142
20251222_160057_195,22,16,-23.2,31,1.5,19.90686896114849,7.907251834869385
20251222_160105_103,24,16,-23.2,31,1.5,16.609877927474443,7.903353691101074
20251222_160113_008,26,14,-26.1,31,1.5,19.151711545071436,7.902984380722046
20251222_160120_912,28,13,-27.6,30,2.9,18.02191204950188,7.9076573848724365
20251222_160128_821,30,13,-27.6,31,1.5,14.860775966795217,7.906551122665405
20251222_160136_729,32,8,-34.8,31,1.5,20.50852991482475,7.903301954269409
20251222_160144_633,34,6,-37.7,31,1.5,20.349235934285787,7.905508518218994
20251222_160152_540,36,8,-34.8,31,1.5,17.27745017725036,7.906317710876465
20251222_160200_448,38,4,-40.6,30,2.9,20.17511219862037,7.9108946323394775
20251222_160208_360,40,6,-37.7,30,2.9,16.633124525890167,7.9032368659973145
20251222_160216_264,41,7,-36.3,30,2.9,11.638968930246563,7.90526556968689
20251222_160224_171,43,4,-40.6,30,2.9,13.46171812695674,7.909015893936157
20251222_160232_081,45,58,37.7,31,1.5,7.519732650361689,7.907063722610474
20251222_160239_989,47,47,21.8,22,14.5,6.896865357599921,7.907102346420288
