Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s)
20250719_021442_781,-45,NO_RADIO,32,0,7.163680572509776,-95.4705810546875,0.13035273551940918,0.10174369812011719
20250719_021443_016,-45,NO_RADIO,32,0,6.643658672326438,-95.65385437011719,0.09710550308227539,0.1558380126953125
20250719_021443_270,-45,NO_RADIO,32,0,7.32973072513893,-95.32933807373047,0.09841537475585938,0.10140585899353027
20250719_021443_471,-45,NO_RADIO,32,0,7.017082383855978,-95.4705810546875,0.09519433975219727,0.1577315330505371
20250719_021443_724,-45,NO_RADIO,32,0,6.948478656419709,-95.76765441894531,0.09742546081542969,0.10144329071044922
20250719_021443_924,-45,NO_RADIO,32,0,6.79517434298829,-95.65385437011719,0.0983879566192627,0.1578211784362793
20250719_021444_181,-45,NO_RADIO,32,0,6.8347635766889425,-95.91634559631349,0.09992170333862305,0.10136985778808594
20250719_021444_383,-45,NO_RADIO,32,0,6.884750997188291,-95.76765441894531,0.09756994247436523,0.15778183937072754
20250719_021444_640,-45,NO_RADIO,32,0,7.435668919509368,-95.43484497070312,0.09868812561035156,0.10142326354980469
20250719_021444_841,-45,NO_RADIO,32,0,7.076451807329889,-95.32933807373047,0.0969846248626709,0.15780997276306152
20250719_021445_096,-45,NO_RADIO,32,0,6.9804324028784634,-95.65199050903321,0.09887218475341797,0.1015937328338623
20250719_021445_298,-45,NO_RADIO,32,0,6.639850321897967,-96.12810516357422,0.10134506225585938,0.15790462493896484
20250719_021445_558,-45,NO_RADIO,32,0,6.783418037120001,-95.4705810546875,0.0989675521850586,0.10142087936401367
20250719_021445_759,-45,NO_RADIO,32,0,7.062430920710412,-95.4295696258545,0.0988454818725586,0.1578361988067627
20250719_021446_017,-45,NO_RADIO,32,0,6.989213201878741,-95.65385437011719,0.09606170654296875,0.10155367851257324
20250719_021446_215,-45,NO_RADIO,32,0,7.358499772853378,-95.4705810546875,0.09905147552490234,0.15787220001220703
