Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250722_121722_712,-44,NO_RADIO,32,0,,0.1645655632019043,0.05071663856506348
20250722_121722_929,-44,NO_RADIO,32,0,,0.12994170188903809,0.04143357276916504
20250722_121723_102,-43,NO_RADIO,32,0,,0.13454413414001465,0.03588056564331055
20250722_121723_273,-42,NO_RADIO,32,0,,0.12375473976135254,0.04231858253479004
20250722_121723_441,-42,NO_RADIO,32,0,,0.1288595199584961,0.04803752899169922
20250722_121723_619,-41,NO_RADIO,32,0,,0.13270187377929688,0.0380098819732666
20250722_121723_791,-40,NO_RADIO,32,0,,0.12767434120178223,0.04511904716491699
20250722_121723_964,-39,NO_RADIO,32,0,,0.1368701457977295,0.04291367530822754
20250722_121724_145,-39,NO_RADIO,32,0,6.574758069923774,0.13430047035217285,0.043843984603881836
20250722_121724_325,-38,NO_RADIO,32,0,7.175818584887423,0.1356184482574463,0.0446629524230957
20250722_121724_506,-37,NO_RADIO,32,0,7.1756515498423,0.13872027397155762,0.043514251708984375
20250722_121724_689,-37,NO_RADIO,32,0,7.1756515498423,0.13958024978637695,0.04692888259887695
20250722_121724_877,-36,NO_RADIO,32,0,7.423387784931805,0.12493610382080078,0.04659748077392578
20250722_121725_050,-35,NO_RADIO,32,0,7.748058345160416,0.1407332420349121,0.04517650604248047
20250722_121725_237,-34,NO_RADIO,32,0,7.748058345160416,0.1301727294921875,0.04201793670654297
20250722_121725_410,-34,NO_RADIO,32,0,7.747835719638019,0.13641929626464844,0.04378223419189453
20250722_121725_591,-33,NO_RADIO,32,0,7.791502718128385,0.13612055778503418,0.04503273963928223
20250722_121725_773,-32,NO_RADIO,32,0,7.790931072012057,0.1366260051727295,0.04451870918273926
20250722_121725_956,-32,NO_RADIO,32,0,7.790931072012057,0.12845802307128906,0.04440164566040039
20250722_121726_130,-31,NO_RADIO,32,0,7.87817690350245,0.12838077545166016,0.04474282264709473
20250722_121726_304,-30,NO_RADIO,32,0,7.37175304663414,0.1301424503326416,0.044098615646362305
20250722_121726_479,-29,NO_RADIO,32,0,7.37175304663414,0.12527871131896973,0.04651188850402832
20250722_121726_652,-29,31,31,-1.5,7.171593509006385,0.16709089279174805,0.04546499252319336
20250722_121726_866,-28,31,31,-1.5,7.171183040443779,0.15273523330688477,0.04470038414001465
20250722_121727_064,-27,30,30,-2.9,6.961432666855004,0.15860867500305176,0.04529070854187012
20250722_121727_269,-26,29,29,-4.4,7.014679619490167,0.16255879402160645,0.04550528526306152
20250722_121727_478,-25,29,29,-4.4,7.014679619490167,0.16188335418701172,0.0457611083984375
20250722_121727_687,-25,28,28,-5.8,6.907506908042805,0.15551233291625977,0.0452733039855957
20250722_121727_889,-24,27,27,-7.3,6.568678517220917,0.15252375602722168,0.04338550567626953
20250722_121728_086,-23,26,26,-8.7,6.961241762591058,0.15591096878051758,0.043863773345947266
20250722_121728_287,-22,26,26,-8.7,6.907303710987037,0.15083980560302734,0.04539060592651367
20250722_121728_484,-21,25,25,-10.2,7.01454264277065,0.1473546028137207,0.045479536056518555
20250722_121728_678,-21,24,24,-11.6,7.370404447504001,0.15106725692749023,0.04548358917236328
20250722_121728_876,-20,24,24,-11.6,7.419073626076013,0.15512824058532715,0.04089689254760742
20250722_121729_073,-19,23,23,-13.1,6.961739683173292,0.1563866138458252,0.04565119743347168
