Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),Initial Max Power (dBm),Max Power (dBm),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),TX Beam Index,TX Beam Angle,Adjustment Method,Beams Checked in Search,SNR (dB),Offset Error,Beam Offset History
20250713_202448_441,-90,44,44,17.4,25.21919059972818,-78.23569068908691,-78.23569068908691,0.10065698623657227,0.1434333324432373,44,44,44,-17.4,YOLO,1,25.21919059972818,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202448_686,-90,44,44,17.4,23.3925233169295,-80.02426872253417,-80.02426872253417,0.10351324081420898,0.16386985778808594,44,44,44,-17.4,YOLO,1,23.3925233169295,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202448_955,-90,44,44,17.4,23.306850245486416,-80.16440849304199,-80.16440849304199,0.10080957412719727,0.14817309379577637,44,44,44,-17.4,YOLO,1,23.306850245486416,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202449_205,-90,44,44,17.4,20.259545778397182,-83.17454528808594,-83.17454528808594,0.09979248046875,0.17760992050170898,44,44,44,-17.4,YOLO,1,20.259545778397182,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202449_483,-90,44,44,17.4,19.99010811622267,-83.29432907104493,-83.29432907104493,0.10290026664733887,0.16344904899597168,44,44,44,-17.4,YOLO,1,19.99010811622267,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20250713_202449_751,-90,45,45,18.9,15.886597606039572,-84.55567512512208,-84.55567512512208,0.1007072925567627,0.7753932476043701,45,46,46,-20.3,NeighborSearch,3,18.748533865566003,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
20250713_202450_628,-90,49,49,24.7,18.114244254240333,-85.3016357421875,-85.3016357421875,0.10372591018676758,0.18433189392089844,49,49,49,-24.7,YOLO,1,18.114244254240333,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
20250713_202450_917,-90,49,49,24.7,24.695280974091673,-78.69402542114258,-78.69402542114258,0.10422825813293457,0.23369932174682617,49,49,49,-24.7,YOLO,1,24.695280974091673,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
20250713_202451_256,-90,49,49,24.7,24.707681241137635,-78.64454727172851,-78.64454727172851,0.10242319107055664,0.10830307006835938,49,49,49,-24.7,YOLO,1,24.707681241137635,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
20250713_202451_468,-90,49,49,24.7,24.04550919034689,-79.44022026062012,-79.44022026062012,0.09874725341796875,0.19356989860534668,49,49,49,-24.7,YOLO,1,24.04550919034689,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
