Experiment,SNR Threshold (dB),Rotor Speed,Algorithm,Total Samples After Balancing,Outage Probability,Average Beamforming Time (s)
nh_dec24_gain8db_3m_online_5G4,25.79,0.125deg/sec,5G NR Adaptive Beamforming,55,0.3636363636363636,7.902663573351774
nh_dec24_gain8db_3m_online_5G5,25.07,0.125deg/sec,5G NR Adaptive Beamforming,55,0.2181818181818181,7.901836390928788
nh_dec24_gain8db_3m_online_5G6,26.16,0.125deg/sec,5G NR Adaptive Beamforming,55,0.5454545454545454,7.9037547718394885
