Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Initial SNR (dB),YOLO Time (s),Beam Sweep Time (s),Rx Beam Index (YOLO Predicted),Rx Beam Index (Selected),Adjustment Method,Beams Checked in Search,Adjusted Beam Index,Adjusted Beam Angle,SNR (dB),Offset Error
20250721_075257_965,-16,42,42,14.5,19.42798830172086,0.0936114788055419,0.0039875507354736,42,42.0,YOLO,1,32,0,19.42798830172086,0.0
20250721_075258_066,-16,42,42,14.5,19.42798830172086,0.0886886119842529,0.0042190551757812,42,42.0,YOLO,1,32,0,19.42798830172086,0.0
20250721_075258_162,-16,41,41,13.1,20.432803748092795,0.0870258808135986,0.0043644905090332,41,41.0,YOLO,1,32,0,20.432803748092795,0.0
20250721_075258_256,-15,41,41,13.1,20.66102041937131,0.091332197189331,0.004427433013916,41,41.0,YOLO,1,32,0,20.66102041937131,0.0
20250721_075258_355,-15,41,41,13.1,20.66102041937131,0.0971841812133789,0.0043022632598876,41,41.0,YOLO,1,32,0,20.66102041937131,0.0
20250721_075258_459,-15,41,41,13.1,20.66102041937131,0.0877802371978759,0.0044043064117431,41,41.0,YOLO,1,32,0,20.66102041937131,0.0
20250721_075258_555,-14,40,40,11.6,20.684931335855552,0.087637186050415,0.0041718482971191,40,40.0,YOLO,1,32,0,20.684931335855552,0.0
20250721_075258_650,-14,40,40,11.6,20.684931335855552,0.093358039855957,0.004166841506958,40,40.0,YOLO,1,32,0,20.684931335855552,0.0
20250721_075258_751,-13,40,40,11.6,20.55133519330974,0.0875577926635742,0.0037136077880859,40,40.0,YOLO,1,32,0,20.55133519330974,0.0
20250721_075258_843,-13,40,40,11.6,20.55133519330974,0.0922071933746337,0.0040116310119628,40,40.0,YOLO,1,32,0,20.55133519330974,0.0
20250721_075258_942,-13,39,39,10.2,21.166090889014924,0.1043519973754882,0.0042681694030761,39,39.0,YOLO,1,32,0,21.166090889014924,0.0
20250721_075259_055,-12,39,39,10.2,20.199031257559568,0.0862388610839843,0.0043520927429199,39,39.0,YOLO,1,32,0,20.199031257559568,0.0
20250721_075259_148,-12,39,39,10.2,20.199031257559568,0.0966553688049316,0.0043015480041503,39,39.0,YOLO,1,32,0,20.199031257559568,0.0
20250721_075259_252,-11,38,38,8.7,20.78398045702696,0.0963175296783447,0.00396728515625,38,38.0,YOLO,1,32,0,20.78398045702696,0.0
20250721_075259_356,-11,38,38,8.7,20.78398045702696,0.0857934951782226,0.0040254592895507,38,38.0,YOLO,1,32,0,20.78398045702696,0.0
20250721_075259_448,-11,38,38,8.7,20.78398045702696,0.0908710956573486,0.0045971870422363,38,38.0,YOLO,1,32,0,20.78398045702696,0.0
20250721_075259_546,-10,38,38,8.7,19.54918985184892,0.0971157550811767,0.0042946338653564,38,38.0,YOLO,1,32,0,19.54918985184892,0.0
20250721_075259_651,-10,37,37,7.3,20.58575949811884,0.0878608226776123,0.0043139457702636,37,37.0,YOLO,1,32,0,20.58575949811884,0.0
20250721_075259_746,-9,37,37,7.3,20.508212429527475,0.0889065265655517,0.0042901039123535,37,37.0,YOLO,1,32,0,20.508212429527475,0.0
20250721_075259_842,-9,37,37,7.3,20.508212429527475,0.0847203731536865,0.0040550231933593,37,37.0,YOLO,1,32,0,20.508212429527475,0.0
20250721_075259_934,-9,36,36,5.8,20.602245915993024,0.0979275703430175,0.00425386428833,36,36.0,YOLO,1,32,0,20.602245915993024,0.0
20250721_075300_039,-8,36,36,5.8,20.145034741588148,0.0930643081665039,0.0045080184936523,36,36.0,YOLO,1,32,0,20.145034741588148,0.0
20250721_075300_140,-8,36,36,5.8,20.145034741588148,0.0920040607452392,0.0042967796325683,36,36.0,YOLO,1,32,0,20.145034741588148,0.0
20250721_075300_238,-7,36,36,5.8,19.36885048254834,0.0892775058746337,0.0043699741363525,36,36.0,YOLO,1,32,0,19.36885048254834,0.0
20250721_075300_335,-7,36,36,5.8,19.36885048254834,0.0991847515106201,0.0045685768127441,36,36.0,YOLO,1,32,0,19.36885048254834,0.0
20250721_075300_442,-7,35,35,4.4,19.879104743318493,0.094489574432373,0.0041253566741943,35,35.0,YOLO,1,32,0,19.879104743318493,0.0
20250721_075300_543,-6,35,35,4.4,19.405543180804955,0.0879032611846923,0.0043005943298339,35,35.0,YOLO,1,32,0,19.405543180804955,0.0
20250721_075300_639,-6,34,34,2.9,20.431409177261287,0.0983667373657226,0.0040345191955566,34,34.0,YOLO,1,32,0,20.431409177261287,0.0
20250721_075300_744,-5,34,34,2.9,19.97503476011257,0.0996696949005127,0.0041446685791015,34,34.0,YOLO,1,32,0,19.97503476011257,0.0
20250721_075300_851,-5,34,34,2.9,19.97503476011257,0.0932855606079101,0.004084825515747,34,34.0,YOLO,1,32,0,19.97503476011257,0.0
20250721_075300_952,-5,33,33,1.5,20.3393480211354,0.0948104858398437,0.0043718814849853,33,33.0,YOLO,1,32,0,20.3393480211354,0.0
20250721_075301_053,-4,33,33,1.5,20.58273326728235,0.0839087963104248,0.0043983459472656,33,33.0,YOLO,1,32,0,20.58273326728235,0.0
20250721_075301_144,-4,33,33,1.5,20.58273326728235,0.0879621505737304,0.0045061111450195,33,33.0,YOLO,1,32,0,20.58273326728235,0.0
20250721_075301_240,-3,33,33,1.5,19.79819199246812,0.0873355865478515,0.0043776035308837,33,33.0,YOLO,1,32,0,19.79819199246812,0.0
20250721_075301_335,-3,33,33,1.5,19.79819199246812,0.100064992904663,0.0045022964477539,33,33.0,YOLO,1,32,0,19.79819199246812,0.0
20250721_075301_442,-3,32,32,0.0,20.680920869871755,0.0894186496734619,0.0043792724609375,32,32.0,YOLO,1,32,0,20.680920869871755,0.0
20250721_075301_539,-2,32,32,0.0,20.88918522383746,0.0883605480194091,0.0043637752532958,32,32.0,YOLO,1,32,0,20.88918522383746,0.0
20250721_075301_635,-2,32,32,0.0,20.88918522383746,0.085123062133789,0.0043771266937255,32,32.0,YOLO,1,32,0,20.88918522383746,0.0
20250721_075301_728,-1,31,31,-1.5,20.985161754898968,0.0862226486206054,0.003993272781372,31,31.0,YOLO,1,32,0,20.985161754898968,0.0
20250721_075301_821,-1,31,31,-1.5,20.985161754898968,0.0910596847534179,0.0042462348937988,31,31.0,YOLO,1,32,0,20.985161754898968,0.0
20250721_075301_919,-1,31,31,-1.5,20.985161754898968,0.0997717380523681,0.0041346549987792,31,31.0,YOLO,1,32,0,20.985161754898968,0.0
20250721_075302_026,0,31,31,-1.5,20.29527720658355,0.0895619392395019,0.0042695999145507,31,31.0,YOLO,1,32,0,20.29527720658355,0.0
20250721_075302_123,0,31,31,-1.5,20.29527720658355,0.0882108211517334,0.0043540000915527,31,31.0,YOLO,1,32,0,20.29527720658355,0.0
20250721_075302_219,1,30,30,-2.9,20.71910171723502,0.0954580307006836,0.0040247440338134,30,30.0,YOLO,1,32,0,20.71910171723502,0.0
20250721_075302_321,1,30,30,-2.9,20.71910171723502,0.0881285667419433,0.0043189525604248,30,30.0,YOLO,1,32,0,20.71910171723502,0.0
20250721_075302_417,1,30,30,-2.9,20.71910171723502,0.0848417282104492,0.0043511390686035,30,30.0,YOLO,1,32,0,20.71910171723502,0.0
20250721_075302_509,2,29,29,-4.4,20.61133409978285,0.0912067890167236,0.0041003227233886,29,29.0,YOLO,1,32,0,20.61133409978285,0.0
20250721_075302_607,2,29,29,-4.4,20.61133409978285,0.0976057052612304,0.003953218460083,29,29.0,YOLO,1,32,0,20.61133409978285,0.0
20250721_075302_712,2,28,28,-5.8,20.434968710706485,0.0847010612487793,0.0035653114318847,28,28.0,YOLO,1,32,0,20.434968710706485,0.0
20250721_075302_802,3,28,28,-5.8,20.453825141565066,0.0878386497497558,0.0043163299560546,28,28.0,YOLO,1,32,0,20.453825141565066,0.0
20250721_075302_895,3,28,28,-5.8,20.453825141565066,0.1011960506439209,0.0042805671691894,28,28.0,YOLO,1,32,0,20.453825141565066,0.0
20250721_075303_004,4,28,28,-5.8,19.9725834748274,0.0903568267822265,0.0040948390960693,28,28.0,YOLO,1,32,0,19.9725834748274,0.0
20250721_075303_101,4,28,28,-5.8,19.9725834748274,0.0984065532684326,0.004218578338623,28,28.0,YOLO,1,32,0,19.9725834748274,0.0
20250721_075303_207,4,27,27,-7.3,20.56187537739349,0.0919013023376464,0.0043373107910156,27,27.0,YOLO,1,32,0,20.56187537739349,0.0
20250721_075303_306,5,27,27,-7.3,20.418760090819944,0.0895373821258544,0.0039124488830566,27,27.0,YOLO,1,32,0,20.418760090819944,0.0
