Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,Tx Beam Index,Tx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250714_072009_794,-90,50,50,26.1,14,26.1,7.087213211059577,0.1757676601409912,0.14128732681274414
20250714_072010_116,-90,50,50,26.1,14,26.1,6.9254746744928894,0.11185312271118164,0.20286893844604492
20250714_072010_432,-90,50,50,26.1,14,26.1,7.379952337530895,0.10098385810852051,0.1852738857269287
20250714_072010_719,-90,50,50,26.1,14,26.1,6.777188101447422,0.09609103202819824,0.22140789031982422
20250714_072011_038,-90,50,50,26.1,14,26.1,7.2500739785127735,0.09735417366027832,0.1569228172302246
20250714_072011_293,-90,50,50,26.1,14,26.1,6.852385301787422,0.09787917137145996,0.22960138320922852
20250714_072011_621,-90,50,50,26.1,14,26.1,6.859298020580368,0.09855985641479492,0.23007464408874512
20250714_072011_951,-90,50,50,26.1,14,26.1,6.894756532900345,0.09891319274902344,0.16234683990478516
20250714_072012_213,-90,50,50,26.1,14,26.1,6.931268859537141,0.09676265716552734,0.10617446899414062
20250714_072012_417,-90,50,50,26.1,14,26.1,6.9206611818468105,0.09677839279174805,0.16825389862060547
20250714_072012_683,-90,50,50,26.1,14,26.1,6.859448065381827,0.09762954711914062,0.27509379386901855
20250714_072013_057,-90,49,49,24.7,15,24.7,6.91515098158068,0.09737181663513184,0.31197643280029297
20250714_072013_467,-90,48,48,23.2,16,23.2,6.873642779012812,0.10167860984802246,0.2669684886932373
20250714_072013_837,-90,48,48,23.2,16,23.2,7.231353238628756,0.10138154029846191,0.20380258560180664
20250714_072014_143,-90,47,47,21.8,17,21.8,6.842868032782633,0.09886813163757324,0.44371533393859863
20250714_072014_687,-90,NO_RADIO,47,21.8,17,21.8,6.895562767893324,0.06659340858459473,0.1967298984527588
20250714_072014_951,-90,NO_RADIO,47,21.8,17,21.8,6.543958733392444,0.10500812530517578,0.2698543071746826
20250714_072015_327,-90,43,43,16.0,21,16.0,6.591410143878846,0.11227703094482422,0.18704485893249512
20250714_072015_628,-90,42,42,14.5,22,14.5,6.929248757556735,0.09908223152160645,0.11531400680541992
20250714_072015_843,-90,41,41,13.1,23,13.1,6.8134321891382115,0.09654712677001953,0.17279887199401855
20250714_072016_113,-90,40,40,11.6,24,11.6,6.822337211661591,0.09873342514038086,0.1299898624420166
20250714_072016_343,-90,39,39,10.2,25,10.2,7.280951157581441,0.09783458709716797,0.16350889205932617
20250714_072016_605,-90,38,38,8.7,26,8.7,7.26764055439773,0.10073542594909668,0.11992621421813965
20250714_072016_827,-90,37,37,7.3,27,7.3,6.3803358122396645,0.09630799293518066,0.16515636444091797
20250714_072017_089,-90,36,36,5.8,28,5.8,6.876292812714638,0.09730672836303711,0.15719008445739746
20250714_072017_345,-90,34,34,2.9,30,2.9,6.9324894426816,0.09759831428527832,0.20375728607177734
20250714_072017_647,-90,33,33,1.5,31,1.5,7.328353468401048,0.09817361831665039,0.10835671424865723
20250714_072017_855,-90,32,32,0,32,0,6.575997084956882,0.09680700302124023,0.1646885871887207
20250714_072018_117,-90,31,31,-1.5,33,-1.5,6.886202857173714,0.09775614738464355,0.1731116771697998
20250714_072018_389,-90,30,30,-2.9,34,-2.9,6.887505895631861,0.09913372993469238,0.1964857578277588
20250714_072018_686,-90,29,29,-4.4,35,-4.4,6.899320763633,0.09872102737426758,0.11152172088623047
20250714_072018_897,-90,28,28,-5.8,36,-5.8,7.555247611963338,0.09900403022766113,0.164259672164917
20250714_072019_161,-90,26,26,-8.7,38,-8.7,7.2831222664208894,0.09869074821472168,0.10985398292541504
20250714_072019_371,-90,25,25,-10.2,39,-10.2,6.952374442011916,0.09484434127807617,0.18242526054382324
20250714_072019_649,-90,24,24,-11.6,40,-11.6,6.95301170568726,0.09776806831359863,0.1072232723236084
20250714_072019_855,-90,23,23,-13.1,41,-13.1,7.5599127981628556,0.09673929214477539,0.16253185272216797
20250714_072020_115,-90,22,22,-14.5,42,-14.5,7.751388242349336,0.0986015796661377,0.11424875259399414
20250714_072020_329,-90,21,21,-16.0,43,-16.0,7.28566707869777,0.09695768356323242,0.16416597366333008
20250714_072020_591,-90,20,20,-17.4,44,-17.4,6.888113015578952,0.09843254089355469,0.10819864273071289
20250714_072020_799,-90,19,19,-18.9,45,-18.9,7.383107302196478,0.0958247184753418,0.1693432331085205
20250714_072021_065,-90,18,18,-20.3,46,-20.3,7.52912274733967,0.09694194793701172,0.10791492462158203
20250714_072021_271,-90,17,17,-21.8,47,-21.8,10.495118064760774,0.10149145126342773,0.1737346649169922
