Timestamp,Boresight,Jetson Detection,Rx Beam Index,Rx Beam Angle,SNR (dB),YOLO Time (s),Beam Sweep Time (s)
20250722_115207_696,-44,NO_RADIO,32,0,,0.23169207572937012,0.04129171371459961
20250722_115207_971,-44,NO_RADIO,32,0,,0.12908339500427246,0.04639005661010742
20250722_115208_148,-43,NO_RADIO,32,0,,0.10101985931396484,0.04518604278564453
20250722_115208_295,-42,NO_RADIO,32,0,,0.12354278564453125,0.0476679801940918
20250722_115208_468,-42,NO_RADIO,32,0,,0.11301994323730469,0.04663372039794922
20250722_115208_628,-41,NO_RADIO,32,0,,0.14864468574523926,0.04683208465576172
20250722_115208_825,-40,NO_RADIO,32,0,,0.12893104553222656,0.04202079772949219
20250722_115208_997,-40,NO_RADIO,32,0,,0.12196016311645508,0.04723763465881348
20250722_115209_168,-39,NO_RADIO,32,0,6.574758069923774,0.1175224781036377,0.046428680419921875
20250722_115209_333,-38,NO_RADIO,32,0,7.175818584887423,0.12997817993164062,0.04291081428527832
20250722_115209_507,-38,NO_RADIO,32,0,7.175818584887423,0.13015198707580566,0.04357290267944336
20250722_115209_682,-37,NO_RADIO,32,0,7.1756515498423,0.09987378120422363,0.044329166412353516
20250722_115209_827,-36,NO_RADIO,32,0,7.423387784931805,0.11702132225036621,0.04743385314941406
20250722_115209_992,-36,NO_RADIO,32,0,7.423387784931805,0.1397416591644287,0.04452395439147949
20250722_115210_178,-35,NO_RADIO,32,0,7.748058345160416,0.1405951976776123,0.047081708908081055
20250722_115210_367,-34,NO_RADIO,32,0,7.747835719638019,0.12382149696350098,0.04390358924865723
20250722_115210_536,-33,NO_RADIO,32,0,7.747835719638019,0.12752175331115723,0.047177791595458984
20250722_115210_711,-33,NO_RADIO,32,0,7.791502718128385,0.12830209732055664,0.04626870155334473
20250722_115210_887,-32,NO_RADIO,32,0,7.790931072012057,0.1298847198486328,0.042261600494384766
20250722_115211_060,-31,NO_RADIO,32,0,7.790931072012057,0.1151125431060791,0.04860281944274902
20250722_115211_225,-31,NO_RADIO,32,0,7.87817690350245,0.11964154243469238,0.04709482192993164
20250722_115211_393,-30,NO_RADIO,32,0,7.37175304663414,0.13247179985046387,0.04563140869140625
20250722_115211_572,-29,31,31,-1.5,7.171593509006385,0.164323091506958,0.04543161392211914
20250722_115211_783,-28,31,31,-1.5,7.171593509006385,0.1251990795135498,0.047821760177612305
20250722_115211_957,-28,31,31,-1.5,7.171183040443779,0.16557741165161133,0.04736185073852539
20250722_115212_172,-27,30,30,-2.9,6.961432666855004,0.1595304012298584,0.0469362735748291
20250722_115212_379,-26,29,29,-4.4,7.014679619490167,0.13180899620056152,0.04370856285095215
20250722_115212_556,-25,28,28,-5.8,6.907506908042805,0.15302586555480957,0.04293680191040039
20250722_115212_753,-25,28,28,-5.8,6.907506908042805,0.13254666328430176,0.04700136184692383
20250722_115212_934,-24,27,27,-7.3,6.568678517220917,0.16732144355773926,0.04747724533081055
20250722_115213_150,-23,26,26,-8.7,6.961241762591058,0.16155433654785156,0.046660661697387695
20250722_115213_359,-22,26,26,-8.7,6.907303710987037,0.1578657627105713,0.04461193084716797
20250722_115213_563,-21,25,25,-10.2,7.030253409483194,0.15686249732971191,0.0453794002532959
20250722_115213_766,-21,24,24,-11.6,7.370404447504001,0.12395381927490234,0.050467491149902344
20250722_115213_942,-20,24,24,-11.6,7.419073626076013,0.15846514701843262,0.04545903205871582
20250722_115214_147,-19,23,23,-13.1,6.961739683173292,0.1394519805908203,0.0439450740814209
20250722_115214_331,-18,22,22,-14.5,6.908018497200303,0.14118552207946777,0.03964662551879883
20250722_115214_513,-17,22,22,-14.5,6.908018497200303,0.16342496871948242,0.036794424057006836
20250722_115214_715,-17,21,21,-16.0,6.908311242271168,0.1419215202331543,0.04381418228149414
20250722_115214_902,-16,21,21,-16.0,6.570016203325395,0.1301579475402832,0.04517555236816406
20250722_115215_078,-15,20,20,-17.4,7.376849650611319,0.16017985343933105,0.04411482810974121
20250722_115215_283,-14,20,20,-17.4,7.790313320145856,0.17040610313415527,0.04727029800415039
20250722_115215_502,-13,19,19,-18.9,6.57037509586398,0.1602797508239746,0.047193050384521484
20250722_115215_711,-13,18,18,-20.3,6.451581454444749,0.15378141403198242,0.047780752182006836
20250722_115215_914,-12,18,18,-20.3,7.172716637644811,0.1587674617767334,0.045408010482788086
20250722_115216_119,-11,17,17,-21.8,7.172971568144376,0.15455102920532227,0.04430079460144043
20250722_115216_319,-10,17,17,-21.8,7.421451239210867,0.15714311599731445,0.04023385047912598
20250722_115216_517,-9,17,17,-21.8,7.421451239210867,0.14415884017944336,0.04807925224304199
20250722_115216_711,-9,16,16,-23.2,,0.15454578399658203,0.04707193374633789
20250722_115216_914,-8,15,15,-24.7,,0.1629016399383545,0.04709768295288086
20250722_115217_125,-7,15,15,-24.7,,0.15847444534301758,0.04563784599304199
20250722_115217_330,-6,14,14,-26.1,,0.1536872386932373,0.04495096206665039
20250722_115217_530,-5,14,14,-26.1,,0.14426922798156738,0.04755568504333496
20250722_115217_723,-5,13,13,-27.6,,0.16159319877624512,0.04440617561340332
20250722_115217_930,-4,13,13,-27.6,,0.15936970710754395,0.045664072036743164
20250722_115218_137,-3,12,12,-29.0,8.048465862230259,0.1617732048034668,0.04682564735412598
20250722_115218_346,-2,12,12,-29.0,8.559696469680688,0.15881013870239258,0.045832157135009766
20250722_115218_552,-1,11,11,-30.5,9.017068831334484,0.15993499755859375,0.04438662528991699
20250722_115218_758,0,11,11,-30.5,9.017068831334484,0.15552783012390137,0.04700732231140137
20250722_115218_961,0,11,11,-30.5,,0.18624281883239746,0.04384350776672363
20250722_115219_193,1,10,10,-31.9,,0.16143417358398438,0.04770159721374512
20250722_115219_403,2,10,10,-31.9,,0.13367462158203125,0.04441952705383301
20250722_115219_582,3,9,9,-33.4,7.170591891218336,0.1277143955230713,0.044502973556518555
20250722_115219_756,4,9,9,-33.4,7.170591891218336,0.16567325592041016,0.04721975326538086
20250722_115219_970,4,8,8,-34.8,7.748304652608809,0.1396939754486084,0.047359466552734375
20250722_115220_158,5,8,8,-34.8,8.046075576429985,0.15748310089111328,0.04786562919616699
20250722_115220_364,6,8,8,-34.8,7.369480414015058,0.1556863784790039,0.04581260681152344
20250722_115220_567,7,7,7,-36.3,7.918664632919871,0.14864373207092285,0.0452725887298584
20250722_115220_762,8,7,7,-36.3,7.918664632919871,0.15367984771728516,0.04794001579284668
20250722_115220_965,8,6,6,-37.7,8.128328966542654,0.13221049308776855,0.045588016510009766
20250722_115221_144,9,6,6,-37.7,7.742992167572595,0.1353154182434082,0.04314231872558594
20250722_115221_323,10,6,6,-37.7,,0.1584024429321289,0.04554390907287598
20250722_115221_528,11,5,5,-39.2,,0.15719032287597656,0.03599190711975098
20250722_115221_723,11,5,5,-39.2,,0.15676116943359375,0.03857254981994629
20250722_115221_919,12,4,4,-40.6,,0.15517330169677734,0.03768658638000488
20250722_115222_113,13,4,4,-40.6,,0.16073966026306152,0.03730940818786621
20250722_115222_313,14,4,4,-40.6,,0.16341352462768555,0.04038286209106445
20250722_115222_518,14,4,4,-40.6,,0.13296198844909668,0.039229393005371094
20250722_115222_691,15,3,3,-42.1,,0.1582174301147461,0.0397341251373291
20250722_115222_890,16,3,3,-42.1,,0.15639877319335938,0.03548145294189453
20250722_115223_083,17,2,2,-43.5,,0.14942646026611328,0.04331207275390625
20250722_115223_277,18,2,2,-43.5,,0.14989399909973145,0.047846078872680664
20250722_115223_476,18,2,2,-43.5,,0.1558394432067871,0.04357028007507324
20250722_115223_677,19,1,1,-45.0,,0.15543365478515625,0.046392202377319336
20250722_115223_880,20,1,1,-45.0,,0.14303898811340332,0.04315805435180664
20250722_115224_068,21,1,1,-45.0,7.367526305614078,0.160322904586792,0.04000520706176758
20250722_115224_269,22,1,1,-45.0,7.367526305614078,0.1608130931854248,0.03860664367675781
20250722_115224_470,22,1,1,-45.0,7.011632554135204,0.16191482543945312,0.0368199348449707
20250722_115224_670,23,1,1,-45.0,6.904113980926425,0.17165827751159668,0.0395207405090332
20250722_115224_882,24,1,1,-45.0,6.565365113933552,0.17943143844604492,0.04473567008972168
20250722_115225_108,25,1,1,-45.0,6.446141390083241,0.14244556427001953,0.03677868843078613
20250722_115225_288,26,1,1,-45.0,6.505950446209766,0.16904759407043457,0.039522409439086914
20250722_115225_498,26,1,1,-45.0,6.505950446209766,0.14193272590637207,0.03919053077697754
20250722_115225_680,27,NO_RADIO,1,-45.0,7.366500265754794,0.1242671012878418,0.04277300834655762
20250722_115225_849,28,NO_RADIO,1,-45.0,6.564868591147516,0.13573789596557617,0.037149906158447266
20250722_115226_024,28,NO_RADIO,1,-45.0,6.564868591147516,0.13080430030822754,0.03653407096862793
20250722_115226_192,29,NO_RADIO,1,-45.0,8.700333254906312,0.1261758804321289,0.04564619064331055
20250722_115226_365,30,NO_RADIO,1,-45.0,6.511535669248161,0.1428217887878418,0.03840184211730957
20250722_115226_548,31,NO_RADIO,1,-45.0,6.511535669248161,0.1240389347076416,0.04605460166931152
20250722_115226_719,31,NO_RADIO,1,-45.0,11.971656780480942,0.13291311264038086,0.05041980743408203
20250722_115226_903,32,NO_RADIO,1,-45.0,6.908619234054356,0.13611102104187012,0.04508352279663086
20250722_115227_086,33,NO_RADIO,1,-45.0,14.800827988100338,0.12914299964904785,0.046977996826171875
20250722_115227_263,33,NO_RADIO,1,-45.0,14.800827988100338,0.1278371810913086,0.046492576599121094
20250722_115227_439,34,NO_RADIO,1,-45.0,6.445833468312827,0.1292734146118164,0.045038461685180664
20250722_115227_614,35,NO_RADIO,1,-45.0,17.663604294172544,0.1290130615234375,0.043241262435913086
20250722_115227_787,36,NO_RADIO,1,-45.0,17.663604294172544,0.13184714317321777,0.04577040672302246
20250722_115227_966,36,NO_RADIO,1,-45.0,6.506039372210083,0.13646745681762695,0.0460660457611084
20250722_115228_150,37,NO_RADIO,1,-45.0,18.768571278607084,0.13889575004577637,0.04511070251464844
20250722_115228_335,38,NO_RADIO,1,-45.0,6.565708689984959,0.13511037826538086,0.03888106346130371
20250722_115228_510,38,NO_RADIO,1,-45.0,6.565708689984959,0.13471126556396484,0.04470705986022949
20250722_115228_691,39,NO_RADIO,1,-45.0,19.013306249366053,0.11330056190490723,0.04512453079223633
20250722_115228_850,40,NO_RADIO,1,-45.0,6.905220553935607,0.13491368293762207,0.03836679458618164
20250722_115229_025,40,NO_RADIO,1,-45.0,6.905220553935607,0.12631726264953613,0.04699540138244629
20250722_115229_199,41,NO_RADIO,1,-45.0,18.90593495297001,0.1375446319580078,0.04652595520019531
20250722_115229_384,42,NO_RADIO,1,-45.0,6.906134001931491,0.13627147674560547,0.03823399543762207
20250722_115229_560,43,NO_RADIO,1,-45.0,6.906134001931491,0.10923624038696289,0.04726099967956543
20250722_115229_718,43,NO_RADIO,1,-45.0,17.281540463777077,0.13866400718688965,0.05756187438964844
20250722_115229_916,44,NO_RADIO,1,-45.0,7.1706282792123375,0.1321859359741211,0.04898428916931152
20250722_115230_098,45,NO_RADIO,1,-45.0,16.183016164498298,0.12381505966186523,0.04597353935241699
20250722_115230_269,45,NO_RADIO,1,-45.0,16.183016164498298,0.13304710388183594,0.046247005462646484
20250722_115230_449,46,NO_RADIO,1,-45.0,6.908805810302482,0.1349332332611084,0.04650568962097168
